Sender,Time
client63,0.07654
client15,0.239324
client17,0.343821
client15,0.366032
client4,0.370947
client17,0.372532
client15,0.374202
client4,0.375684
client15,0.377477
client17,0.379003
client15,0.380542
client4,0.382047
client15,0.383819
client17,0.38541
client17,0.386832
client4,0.388338
client17,0.390098
client4,0.391893
client17,0.39342
client4,0.394837
client17,0.396244
client4,0.397697
client17,0.399184
client4,0.403915
client17,0.406386
client4,0.431173
client12,0.433963
client12,0.435353
client12,0.436771
client12,0.438106
client12,0.439938
client12,0.441461
client12,0.442848
client12,0.444253
client15,0.446058
client12,0.448123
client15,0.451685
client12,0.453716
client15,0.457311
client15,0.487549
client4,0.51343
client31,0.523366
client14,0.534206
client31,0.535664
client14,0.539846
client31,0.547783
client14,0.549204
client31,0.550502
client21,0.551953
client14,0.55435
client31,0.556299
client14,0.558324
client31,0.56034
client14,0.562418
client21,0.564491
client31,0.566696
client14,0.568782
client31,0.571069
client14,0.572352
client21,0.573636
client31,0.575006
client14,0.576616
client31,0.578456
client21,0.579947
client14,0.58137
client21,0.582714
client21,0.584111
client21,0.585786
client21,0.596839
client21,0.598401
client21,0.599938
client5,0.601239
client5,0.602978
client5,0.60449
client5,0.606043
client5,0.607605
client5,0.609325
client5,0.611197
client5,0.612825
client5,0.614488
client5,0.627976
client39,0.629371
client39,0.631273
client26,0.63313
client39,0.635382
client39,0.637715
client39,0.639959
client26,0.642206
client39,0.644532
client26,0.647011
client39,0.649464
client39,0.651917
client39,0.654391
client26,0.666098
client39,0.668488
client26,0.670932
client26,0.673355
client26,0.675858
client26,0.678298
client26,0.680695
client26,0.682971
client20,0.686209
client20,0.688479
client35,0.690824
client19,0.693501
client20,0.696007
client20,0.698349
client35,0.701314
client20,0.71726
client19,0.719748
client20,0.722176
client20,0.72455
client35,0.727016
client20,0.729594
client19,0.73201
client35,0.744224
client20,0.746606
client35,0.749139
client19,0.751492
client20,0.753903
client35,0.756228
client19,0.759097
client35,0.761466
client19,0.763892
client19,0.766156
client35,0.768682
client19,0.770995
client35,0.773537
client19,0.777003
client35,0.779881
client19,0.783625
client34,0.792059
client34,0.794209
client34,0.796569
client34,0.798748
client34,0.801319
client34,0.804935
client34,0.807881
client34,0.812109
client34,0.815598
client34,0.819716
client18,0.824135
client18,0.827295
client18,0.832028
client18,0.836769
client18,0.843069
client18,0.859587
client18,0.862062
client18,0.864267
client18,0.866566
client18,0.868863
client36,0.870856
client23,0.87477
client25,0.880041
client36,0.882858
client23,0.88671
client25,0.892609
client36,0.899623
client36,0.905545
client23,0.908544
client25,0.911845
client36,0.916426
client23,0.919813
client25,0.924368
client36,0.928221
client23,0.939273
client23,0.941798
client25,0.94416
client36,0.946485
client23,0.94892
client36,0.951323
client25,0.954219
client23,0.957288
client36,0.963413
client25,0.969163
client23,0.972131
client36,0.975517
client25,0.980126
client23,0.983286
client25,0.987027
client25,0.989947
client72,0.990363
client56,0.993005
client22,1.005766
client72,1.007613
client72,1.010225
client22,1.015205
client56,1.020483
client72,1.026195
client72,1.029387
client22,1.032946
client56,1.038037
client72,1.04299
client22,1.054938
client56,1.057314
client72,1.059673
client22,1.062454
client56,1.064758
client72,1.067174
client22,1.070071
client56,1.07428
client72,1.07691
client22,1.083741
client56,1.086914
client72,1.091687
client22,1.095785
client56,1.0995219999999999
client71,1.102738
client22,1.11025
client56,1.123098
client22,1.127302
client56,1.130226
client71,1.135851
client71,1.138434
client71,1.141008
client71,1.14399
client71,1.146418
client71,1.1491
client71,1.151415
client71,1.154081
client71,1.157016
client57,1.16221
client57,1.166809
client57,1.171536
client57,1.175043
client57,1.180407
client57,1.193845
client57,1.196154
client80,1.198497
client57,1.201246
client57,1.203383
client57,1.2055
client80,1.209116
client80,1.211096
client80,1.213109
client80,1.21605
client80,1.218514
client80,1.220655
client80,1.223134
client80,1.227595
client80,1.230399
client16,1.231238
client16,1.233809
client16,1.2359
client16,1.238948
client16,1.24148
client16,1.243584
client16,1.246744
client16,1.249516
client16,1.251673
client16,1.256457
client83,1.258705
client37,1.262051
client83,1.2651780000000001
client37,1.280265
client37,1.283475
client83,1.2858559999999999
client37,1.288049
client37,1.290229
client83,1.292682
client37,1.294726
client83,1.296848
client37,1.298928
client83,1.300976
client37,1.303034
client83,1.305046
client37,1.307128
client83,1.319433
client37,1.321505
client83,1.323611
client83,1.325512
client100,1.326994
client100,1.328946
client100,1.330942
client100,1.3330389999999999
client100,1.335068
client100,1.337049
client100,1.339108
client100,1.341462
client100,1.343497
client100,1.345624
client58,1.346849
client92,1.348883
client58,1.350884
client92,1.352881
client58,1.355039
client58,1.357292
client58,1.359297
client92,1.361425
client58,1.363527
client92,1.366049
client58,1.368147
client92,1.370236
client58,1.373705
client58,1.3772739999999999
client92,1.380079
client58,1.383381
client92,1.422905
client92,1.425138
client92,1.427478
client92,1.429742
client38,1.431931
client38,1.43422
client38,1.4363139999999999
client38,1.438471
client38,1.440657
client38,1.442906
client38,1.445988
client38,1.448252
client38,1.450971
client38,1.453243
client50,1.463886
client50,1.46611
client50,1.468121
client94,1.470357
client50,1.482146
client50,1.484439
client50,1.486745
client94,1.489126
client50,1.4937960000000001
client50,1.516397
client50,1.51872
