Recipient,1,2,3,4,5,6,7,8,9,10,Average
client6,863079000,862573000,862565000,862559000,862554000,862551000,862543000,862136000,861939000,861781000,862428000
client7,855518000,855028000,855035000,855047000,853401000,853351000,853264000,853227000,853174000,853125000,854017000
client10,850021000,849551000,849577000,849548000,849545000,849552000,849560000,849562000,849612000,849632000,849616000
client8,847923000,847410000,847404000,847386000,847368000,847356000,847355000,847344000,847351000,847342000,847423900
client9,838663000,838203000,838230000,838213000,838201000,838192000,838175000,838169000,838181000,838134000,838236100
