Recipient,1,2,3,4,5,6,7,8,9,10,Average
client1188,509439000,508689000,508659000,508607000,508562000,508511000,508469000,508439000,508394000,508340000,508610900
client1194,424971000,424543000,424526000,424613000,424643000,424655000,424673000,424687000,424688000,424706000,424670500
client1067,792949000,792516000,792558000,792553000,792536000,792500000,792478000,792458000,792437000,792419000,792540400
client1184,378822000,378326000,378267000,378238000,378192000,378142000,378096000,378049000,378002000,377951000,378208500
client1057,790568000,790039000,790076000,789767000,789695000,789637000,789588000,785615000,785456000,785400000,788584100
client1111,793701000,793209000,793234000,793279000,793272000,793250000,793201000,793169000,793002000,792859000,793217600
client1154,700455000,696146000,696054000,695953000,688786000,688502000,688241000,688174000,687566000,687491000,691736800
client1183,833275000,832830000,832854000,832891000,832895000,832871000,832851000,832822000,832808000,832792000,832888900
client1197,365382000,360583000,360564000,360513000,360459000,360396000,360340000,360285000,360230000,360182000,360893400
client1199,259076000,258631000,258664000,258654000,258634000,258611000,258588000,258566000,258544000,258528000,258649600
client843,434328000,236265000,236002000,235722000,235429000,235170000,234908000,234645000,234405000,234158000,255103200
client879,562122000,274892000,274655000,274376000,274042000,273778000,273528000,273264000,272997000,272735000,302638900
client771,443200000,244293000,244038000,243756000,243461000,243204000,242957000,242702000,242286000,241956000,263185300
client815,468104000,270531000,270262000,269962000,269699000,269470000,269233000,269004000,268680000,267811000,289275600
client1193,356605000,337364000,337346000,337423000,337476000,337500000,337526000,337548000,337578000,337600000,339396600
client1122,717724000,717142000,717076000,703822000,703703000,703646000,703594000,703545000,703496000,703450000,707719800
client840,443769000,244434000,244136000,243657000,243328000,237817000,236950000,230210000,229667000,229065000,258303300
client1177,824229000,811102000,811087000,810772000,810727000,810660000,810612000,810527000,810500000,810479000,812069500
client1198,318081000,317587000,317624000,317611000,317615000,317597000,317575000,317555000,317536000,317522000,317630300
client1165,684454000,681516000,668897000,668772000,668711000,668659000,668563000,668513000,668459000,668412000,671495600
client1133,750232000,741842000,741731000,741686000,741635000,741584000,741537000,741491000,741445000,741395000,742457800
client1171,692505000,691944000,691885000,691828000,691780000,691725000,691674000,691625000,691575000,691529000,691807000
client1066,777055000,776568000,776583000,776564000,776555000,776535000,776533000,776515000,776496000,776460000,776586400
client1189,674040000,673519000,673478000,673425000,673377000,673325000,673279000,673232000,673184000,673136000,673399500
client1192,341794000,339903000,339987000,340041000,340081000,340115000,340175000,340181000,340169000,340163000,340260900
client1186,697777000,695044000,693444000,692585000,690130000,689768000,689668000,689583000,689458000,688964000,691642100
client1158,652104000,651500000,651451000,651395000,651352000,651301000,651253000,651205000,651156000,651110000,651382700
client1143,707469000,701634000,661465000,661367000,661312000,661257000,661205000,661154000,661103000,661050000,669901600
client1152,690290000,689686000,689594000,689486000,689443000,689393000,689350000,689070000,688981000,688846000,689413900
client1196,337650000,337228000,337309000,337432000,337479000,337499000,337520000,337535000,337558000,337577000,337478700
client1195,337622000,337160000,337169000,337266000,337320000,337349000,337385000,337414000,337445000,337484000,337361400
client1087,677549000,676995000,676952000,676896000,676849000,676797000,676746000,661525000,661446000,661393000,672314800
client851,634154000,324186000,323814000,323497000,322857000,320429000,320068000,319546000,319045000,317181000,352477700
client1149,754855000,700930000,700814000,700737000,700673000,700605000,700541000,700474000,700407000,700338000,706037400
client776,217649000,216393000,216270000,216109000,215991000,215888000,215759000,215631000,215498000,215367000,216055500
client1142,695902000,695304000,695253000,695187000,695131000,695074000,695019000,694965000,694913000,673960000,693070800
client1089,707407000,706894000,706847000,706787000,706737000,706678000,706628000,706580000,706532000,706487000,706757700
client774,256103000,255131000,255011000,254854000,254739000,254628000,254503000,254397000,254246000,254143000,254775500
client1140,684998000,684339000,684267000,684221000,684174000,684123000,684074000,684025000,683978000,683931000,684213000
client1156,714209000,670845000,670701000,670618000,670540000,670472000,670408000,670341000,670269000,670206000,674860900
client1073,689977000,685282000,672462000,672360000,672308000,672258000,672206000,672161000,672114000,672041000,675316900
client829,297794000,296724000,296547000,295980000,295832000,295710000,295592000,293869000,293717000,293611000,295537600
client795,207146000,206317000,206219000,206098000,203988000,203840000,203732000,203635000,203529000,203421000,204792500
client833,296401000,295475000,295327000,295157000,294857000,288448000,288167000,286568000,286410000,286268000,291307800
client1079,672934000,672104000,672178000,672195000,672201000,672224000,672236000,672247000,672254000,672316000,672288900
