Recipient,1,2,3,4,5,6,7,8,9,10,Average
client48,0.105457,0.107067,0.108585,0.128465,0.14608,0.152796,0.157861,0.170589,0.175966,0.184158,0
client43,0.100224,0.119672,0.148556,0.160283,0.173204,0.17829,0.188946,0.206908,0.21941,0.229084,0
client42,0.108187,0.143472,0.167886,0.181346,0.20006,0.209266,0.221725,0.234452,0.246704,0.256458,0
client36,0.124814,0.165315,0.202591,0.216958,0.226496,0.236798,0.244302,0.25398,0.264436,0.271678,0
client37,0.122406,0.155281,0.186646,0.211576,0.224088,0.239286,0.249234,0.258843,0.266768,0.274077,0
client46,0.126993,0.162896,0.192844,0.21415,0.231997,0.24164,0.251515,0.261784,0.269029,0.276094,0
client50,0.279047,0.281337,0.283744,0.285982,0.288533,0.290682,0.292806,0.295074,0.297802,0.299949,0
client45,0.302551,0.304388,0.306659,0.309045,0.311445,0.314189,0.316641,0.319091,0.321772,0.324376,0
client40,0.327543,0.329795,0.332237,0.334735,0.337377,0.339891,0.342438,0.344681,0.347401,0.350214,0
client30,0.352364,0.353745,0.356489,0.360143,0.364287,0.368191,0.372201,0.376732,0.381396,0.386184,0
client26,0.392587,0.395093,0.399513,0.40445,0.410345,0.412632,0.417473,0.420649,0.423767,0.429594,0
client27,0.448206,0.450146,0.454265,0.459197,0.467755,0.471721,0.476064,0.481234,0.484285,0.497616,0
client28,0.464491,0.500352,0.502939,0.513256,0.517038,0.522058,0.537416,0.540215,0.542896,0.550649,0
client34,0.520476,0.534879,0.545351,0.548175,0.553082,0.55631,0.558991,0.561411,0.576091,0.578728,0
client29,0.581687,0.583863,0.586271,0.588804,0.591303,0.593798,0.605676,0.608043,0.610506,0.61298,0
client32,0.630239,0.63194,0.634249,0.636685,0.639117,0.642053,0.644665,0.647061,0.649492,0.652188,0
client35,0.651813,0.653885,0.667559,0.669864,0.672358,0.674795,0.67724,0.679686,0.682115,0.684994,0
client49,0.623775,0.685906,0.689998,0.698422,0.705615,0.708021,0.710366,0.712784,0.716473,0.718854,0
client38,0.719227,0.722933,0.728784,0.732976,0.735907,0.738913,0.741993,0.747969,0.754112,0.76111,0
client47,0.763584,0.767506,0.779952,0.782964,0.785555,0.78883,0.791639,0.79534,0.797606,0.801664,0
client44,0.8061,0.808079,0.812977,0.818008,0.821948,0.826705,0.832559,0.836928,0.842042,0.844877,0
client39,0.436588,0.439858,0.442807,0.847818,0.852623,0.856853,0.860557,0.863613,0.870146,0.875083,0
client33,0.877229,0.879179,0.882234,0.886211,0.892054,0.896171,0.900901,0.903848,0.908729,0.913568,0
client41,0.91142,0.915336,0.921456,0.927331,0.930563,0.933167,0.935131,0.93712,0.939256,0.941626,0
client31,0.944349,0.945584,0.94941,0.953162,0.956555,0.959286,0.96141,0.96352,0.965712,0.977993,0
