Recipient,1,2,3,4,5,6,7,8,9,10,Average
client27,661053000,660564000,660549000,660545000,660530000,660518000,660507000,660496000,660504000,660495000,660576100
client26,665917000,665335000,665355000,665346000,665319000,665306000,665277000,665241000,665221000,665211000,665352800
client18,673789000,671966000,671947000,671940000,671934000,671914000,671906000,671902000,664751000,664735000,670678400
client24,642922000,643562000,643552000,643523000,643511000,643498000,643482000,643464000,643457000,643441000,643441200
client17,633218000,632667000,632655000,632646000,632642000,632638000,632630000,617368000,617282000,617282000,628102800
client16,689977000,689360000,643697000,643684000,643677000,643672000,643652000,628631000,628226000,628214000,648279000
client20,618270000,617632000,617616000,617598000,617593000,617553000,617540000,617522000,617514000,617504000,617634200
client29,586630000,586128000,586092000,586082000,586062000,586015000,585989000,585979000,585965000,585960000,586090200
client25,554648000,554050000,554024000,554031000,554021000,554015000,554009000,554017000,554043000,554047000,554090500
client21,597447000,595906000,595886000,595867000,595855000,595826000,595814000,595802000,595782000,595771000,595995600
client19,594499000,592972000,592967000,592926000,592860000,592843000,592823000,592810000,592796000,592780000,593027600
client22,546381000,545876000,545891000,545866000,545852000,545837000,545819000,545814000,545823000,545822000,545898100
client23,519745000,507078000,507015000,503565000,503451000,503387000,503302000,503220000,498855000,494956000,504457400
client30,558915000,572227000,572243000,572254000,572245000,572257000,572240000,572228000,572245000,572240000,570909400
client28,518298000,517696000,517680000,517662000,517646000,517630000,517620000,517605000,517586000,517570000,517699300
