Recipient,1,2,3,4,5,6,7,8,9,10,Average
client384,0.299813,0.308055,0.332011,0.344185,0.369845,0.381525,0.395713,0.418291,0.428601,0.475977,0
client383,0.305044,0.328112,0.333852,0.368077,0.373299,0.386595,0.408468,0.422514,0.465099,0.478498,0
client399,0.304863,0.313098,0.350195,0.371666,0.389438,0.415029,0.431431,0.480453,0.491956,0.49913,0
client364,0.341201,0.412773,0.489329,0.496373,0.506344,0.526573,0.535325,0.561295,0.574692,0.598008,0
client396,0.331713,0.375904,0.472685,0.483715,0.493751,0.512633,0.542442,0.565867,0.59505,0.610018,0
client379,0.416558,0.485835,0.518416,0.531881,0.546207,0.568874,0.589373,0.607178,0.615261,0.626307,0
client366,0.524963,0.583869,0.636298,0.645216,0.672675,0.683602,0.706451,0.735193,0.762436,0.802535,0
client367,0.553349,0.620907,0.661545,0.678454,0.700645,0.728781,0.741392,0.75716,0.78159,0.810472,0
client400,0.505249,0.57935,0.640506,0.650263,0.669735,0.68947,0.717358,0.74604,0.774412,0.820087,0
client351,0.559023,0.631974,0.654526,0.694963,0.730877,0.751284,0.768281,0.791275,0.829348,0.835123,0
client376,0.716054,0.797251,0.841237,0.855101,0.860308,0.866167,0.871101,0.882411,0.895127,0.904189,0
client355,0.78831,0.849238,0.875094,0.898549,0.909587,0.918628,0.925077,0.935365,0.94115,0.947435,0
client380,0.891518,0.930404,0.95057,0.968867,0.97073,0.972984,0.9768,0.983105,0.985949,0.999363,0
client374,1.004868,1.018865,1.021309,1.028176,1.035091,1.04014,1.0592,1.061198,1.068039,1.078707,0
client354,1.007427,1.023893,1.045182,1.063722,1.074242,1.084481,1.099541,1.101823,1.107626,1.112271,0
client352,1.119067,1.1246,1.13677,1.148261,1.151525,1.157015,1.171146,1.173472,1.178699,1.184686,0
client397,1.156393,1.176014,1.187904,1.195922,1.202484,1.209696,1.215706,1.222848,1.228059,1.236019,0
client381,1.243952,1.249339,1.253879,1.2599040000000001,1.264896,1.27676,1.279266,1.282895,1.290364,1.293021,0
client373,1.3031030000000001,1.30895,1.312661,1.317638,1.323874,1.328851,1.334417,1.347303,1.350626,1.356578,0
client368,1.364655,1.375664,1.387277,1.394336,1.405537,1.4228290000000001,1.432471,1.444979,1.458264,1.465864,0
client382,1.373083,1.381138,1.400396,1.411607,1.415567,1.427559,1.439588,1.450614,1.461066,1.471655,0
client372,1.491068,1.496747,1.497295,1.499017,1.5061520000000002,1.513265,1.516348,1.522128,1.5461420000000001,1.5486529999999998,0
client375,1.5546579999999999,1.560178,1.560848,1.561666,1.5766550000000001,1.579378,1.581871,1.589131,1.6061320000000001,1.610356,0
client377,0.292931,1.5710899999999999,1.58529,1.59379,1.607732,1.6121889999999999,1.617253,1.622425,1.628139,1.644188,0
client369,1.649416,1.6562350000000001,1.657334,1.658341,1.659319,1.6651470000000002,1.669813,1.692426,1.6972,1.699368,0
client378,1.704882,1.710651,1.711259,1.711857,1.712535,1.714115,1.719459,1.7251349999999999,1.7297280000000002,1.734028,0
client393,1.7381389999999999,1.743321,1.7453940000000001,1.7501929999999999,1.7574450000000001,1.762638,1.764529,1.770587,1.775573,1.780542,0
client371,1.788346,1.7905250000000001,1.795029,1.800006,1.804829,1.8110089999999999,1.812713,1.817965,1.8229440000000001,1.8277860000000001,0
client370,1.83203,1.842559,1.8449870000000002,1.8471009999999999,1.851598,1.857894,1.859836,1.8708369999999999,1.876089,1.8813309999999999,0
client398,1.870034,1.886742,1.894041,1.902136,1.9066,1.91259,1.917955,1.923869,1.9297490000000002,1.932768,0
client391,1.939765,1.9464709999999998,1.947391,1.951648,1.9598010000000001,1.965892,1.971057,1.977363,1.984985,1.9879259999999999,0
client390,1.992384,2.005069,2.020655,2.038135,2.049931,2.055997,2.0709400000000002,2.0892,2.108035,2.124946,0
client392,2.001478,2.031683,2.060182,2.084403,2.11919,2.127037,2.160167,2.165237,2.172468,2.19953,0
client388,2.017966,2.068246,2.155165,2.1695,2.196987,2.209773,2.238275,2.247065,2.27534,2.283887,0
client347,2.014084,2.046721,2.104631,2.165113,2.197227,2.205569,2.243183,2.2798220000000002,2.312674,2.329552,0
client348,2.030118,2.080639,2.132609,2.238392,2.26427,2.29986,2.3238849999999998,2.349554,2.396771,2.41248,0
client389,2.161659,2.233011,2.307419,2.333382,2.370869,2.380905,2.398993,2.40375,2.436246,2.478652,0
client385,2.220094,2.289808,2.3599,2.3761929999999998,2.41802,2.473261,2.48126,2.488832,2.496339,2.509014,0
client386,2.101103,2.180085,2.255446,2.316422,2.363186,2.396729,2.426087,2.476176,2.491451,2.513856,0
client345,2.2829610000000002,2.355592,2.431757,2.4863720000000002,2.49639,2.5033849999999997,2.520763,2.531738,2.537406,2.543403,0
client350,2.345945,2.488705,2.548622,2.556434,2.562395,2.5736179999999997,2.579799,2.591338,2.6013859999999998,2.607325,0
client394,2.569325,2.611507,2.647071,2.667023,2.686955,2.703773,2.75347,2.7645239999999998,2.786833,2.799292,0
client387,2.594693,2.623815,2.663171,2.682283,2.698691,2.720811,2.7619540000000002,2.771632,2.793348,2.8117929999999998,0
client344,2.6219710000000003,2.643319,2.678379,2.758515,2.769074,2.787077,2.793427,2.799426,2.8256930000000002,2.830191,0
client346,2.586817,2.632291,2.6667389999999997,2.695325,2.717281,2.76134,2.771235,2.797456,2.827717,2.840978,0
client343,2.63966,2.672236,2.712287,2.791343,2.806199,2.835436,2.848218,2.853793,2.866935,2.8692029999999997,0
client341,2.873809,2.880246,2.890478,2.9045170000000002,2.9063369999999997,2.915457,2.9242850000000002,2.943349,2.9476750000000003,2.952243,0
client339,2.87054,2.876634,2.887538,2.902199,2.9104929999999998,2.919219,2.928152,2.945449,2.949732,2.964797,0
client365,2.976204,2.9818160000000002,2.9935869999999998,3.008866,3.016501,3.026481,3.03712,3.049912,3.062874,3.079647,0
client362,2.968636,2.976578,2.990831,3.005809,3.011404,3.021717,3.042557,3.060484,3.073855,3.0898120000000002,0
client338,2.972715,2.988235,3.001168,3.034278,3.047943,3.055955,3.069008,3.085146,3.098244,3.103464,0
client360,3.114235,3.119694,3.120584,3.126294,3.13142,3.139477,3.144576,3.149264,3.154732,3.160566,0
client358,3.16988,3.175656,3.181056,3.187432,3.193033,3.196778,3.2106,3.213598,3.216158,3.221273,0
client297,3.226428,3.241614,3.251556,3.261097,3.499466,5.566929,5.884648,7.968299,7.975174,7.989662,0
client294,3.235727,3.246578,4.267683,6.951802,7.970478,7.986714,7.992088,7.994922,8.00998,8.012359,0
client293,3.3224,7.972751,8.007541,8.015201,8.026508,8.029118,8.03102,8.033284,8.037992,8.040376,0
client292,8.044574,8.050715,8.059466,8.06172,8.06648,8.071328,8.076128,8.080509,8.086072,8.130512,0
client298,8.03711,8.045023,8.057453,8.064052,8.068672,8.073669,8.078351,8.082654,8.09097,8.134316,0
client296,8.139178,8.141307,8.141471,8.142898,8.144649,8.156651,8.158501,8.160699,8.162921,8.164917,0
client361,8.182754,8.188476,8.189016,8.195545,8.198944000000001,8.201772,8.205408,8.237004,8.240299,8.242422,0
client395,8.247098,8.250855,8.251229,8.252369,8.254812,8.28078,8.283286,8.285693,8.288383,8.290632,0
client363,8.294248,8.296658,8.306132999999999,8.313238,8.324893,8.330222,8.342123,8.346828,8.354971,8.36119,0
client359,8.301575,8.31893,8.336049,8.364825,8.376021,8.379061,8.382604,8.390152,8.395411,8.400064,0
client353,8.406364,8.410619,8.425675,8.4279,8.430867,8.436714,8.439915,8.451167,8.458765,8.462295,0
client288,8.446215,8.466449,8.474138,8.479162,8.50141,8.504415,8.506723000000001,8.509006,8.511519,8.513849,0
client278,8.517476,8.533647,8.543273,8.549545,8.561868,8.566992,8.576128,8.585447,8.594242,8.610421,0
client290,8.52362,8.53592,8.564745,8.580574,8.589165,8.60046,8.613756,8.619771,8.628351,8.639417,0
client273,8.539956,8.572548,8.605404,8.624725,8.633082,8.644664,8.650239,8.655139,8.661085,8.665337,0
