Sender,Time
client303,0.720885
client87,0.828913
client62,0.882949
client32,0.931005
client111,1.001629
client111,1.078425
client32,1.147079
client62,1.153959
client97,1.17474
client32,1.181028
client139,1.205157
client111,1.207922
client62,1.226061
client32,1.24452
client111,1.247459
client97,1.265295
client62,1.2833350000000001
client32,1.286478
client111,1.293785
client62,1.308184
client32,1.317603
client111,1.345899
client32,1.348697
client111,1.352152
client62,1.358881
client139,1.366293
client97,1.383705
client111,1.387997
client32,1.403597
client62,1.406262
client97,1.415345
client111,1.433297
client32,1.436154
client62,1.443515
client97,1.455517
client111,1.467188
client32,1.482024
client62,1.496075
client97,1.5177
client139,1.533627
client62,1.536041
client97,1.544842
client139,1.555142
client97,1.565239
client139,1.573126
client97,1.585939
client139,1.589378
client97,1.620781
client139,1.633758
client139,1.636029
client139,1.638309
client104,1.640293
client139,1.642157
client102,1.644184
client104,1.646321
client87,1.648196
client102,1.649978
client104,1.6538789999999999
client2,1.65988
client104,1.663685
client87,1.668661
client118,1.674679
client30,1.6796959999999999
client104,1.684548
client87,1.688654
client104,1.693588
client102,1.698609
client87,1.7036959999999999
client104,1.708817
client87,1.713841
client102,1.722993
client104,1.734136
client2,1.736462
client87,1.7389329999999998
client104,1.743834
client102,1.7477070000000001
client118,1.7531240000000001
client87,1.764703
client30,1.767084
client104,1.773469
client87,1.778547
client102,1.7846579999999999
client102,1.7940399999999999
client87,1.8019340000000001
client2,1.807594
client102,1.813635
client2,1.820724
client118,1.829572
client102,1.843046
client30,1.845392
client102,1.847904
client2,1.85056
client118,1.8578700000000001
client30,1.874511
client2,1.877556
client118,1.881237
client2,1.885792
client30,1.905923
client118,1.924271
client2,1.9269150000000002
client30,1.929452
client2,1.9319229999999998
client118,1.934437
client143,1.936895
client30,1.939407
client2,1.9534319999999998
client118,1.955905
client30,1.958547
client118,1.9618039999999999
client30,1.968667
client118,1.973924
client143,1.981651
client30,1.987554
client12,1.995274
client143,2.004654
client143,2.02284
client143,2.025011
client143,2.027007
client12,2.031452
client143,2.037465
client143,2.042735
client143,2.054339
client12,2.05699
client143,2.059604
client12,2.064368
client12,2.070347
client12,2.08307
client12,2.085811
client12,2.090207
client12,2.095231
client12,2.100338
client44,2.107746
client44,2.117855
client44,2.130759
client44,2.1427329999999998
client44,2.14743
client44,2.152408
client44,2.157422
client44,2.163616
client44,2.168811
client44,2.192795
client36,2.197418
client43,2.200484
client36,2.204086
client36,2.207921
client43,2.210893
client36,2.223086
client36,2.225542
client36,2.228602
client43,2.2330740000000002
client36,2.238073
client43,2.251918
client36,2.25449
client36,2.256952
client43,2.2608
client43,2.272926
client36,2.275803
client14,2.278226
client43,2.285055
client43,2.293058
client43,2.298133
client43,2.322034
client14,2.32451
client14,2.326937
client14,2.329474
client14,2.331719
client14,2.335785
client14,2.339329
client14,2.353471
client14,2.356029
client14,2.358267
client109,2.364322
client109,2.371615
client109,2.374053
client109,2.391109
client109,2.393703
client109,2.396106
client109,2.398414
client109,2.411754
client109,2.414205
client109,2.416671
client19,2.41908
client19,2.433065
client19,2.435611
client19,2.4380100000000002
client19,2.443971
client19,2.449139
client19,2.46083
client19,2.463265
client19,2.465848
client19,2.469675
client99,2.476124
client99,2.483985
client99,2.515845
client99,2.51925
client99,2.521673
client99,2.524004
client99,2.526554
client99,2.529228
client99,2.532007
client99,2.534666
client1,2.5506640000000003
client1,2.5533390000000002
client7,2.558697
client1,2.5656689999999998
client1,2.580378
client7,2.582847
