Sender,Time
client8,0.093462
client3,0.101231
client3,0.102974
client9,0.104678
client3,0.10637
client8,0.107984
client14,0.119033
client15,0.120766
client5,0.123108
client3,0.125618
client9,0.127943
client3,0.143025
client8,0.145498
client3,0.148142
client14,0.152328
client3,0.154753
client8,0.157278
client5,0.159878
client15,0.162307
client9,0.164826
client3,0.167493
client8,0.170202
client3,0.172935
client8,0.175328
client9,0.177821
client3,0.180844
client14,0.183635
client8,0.186264
client5,0.189954
client9,0.197011
client15,0.199692
client8,0.202109
client9,0.206427
client14,0.208826
client5,0.211173
client15,0.213718
client8,0.216546
client9,0.218888
client14,0.221246
client15,0.223625
client8,0.226009
client5,0.229117
client9,0.231541
client15,0.233949
client14,0.236316
client5,0.238796
client15,0.241343
client9,0.243834
client14,0.246405
client5,0.248724
client15,0.251049
client9,0.253553
client14,0.25595
client5,0.25873
client15,0.261418
client14,0.263977
client5,0.266262
client15,0.268656
client14,0.271215
client5,0.273468
client1,0.275475
client1,0.278613
client1,0.281016
client1,0.283263
client1,0.285872
client1,0.288091
client1,0.290212
client1,0.292283
client1,0.295068
client1,0.297259
client6,0.298941
client6,0.301606
client6,0.303899
client6,0.306201
client6,0.3087
client6,0.311219
client6,0.313764
client6,0.316277
client6,0.318885
client6,0.321347
client11,0.323606
client11,0.326132
client11,0.329482
client11,0.331955
client11,0.334313
client11,0.336954
client11,0.339494
client11,0.341905
client11,0.344301
client11,0.346952
client21,0.348322
client21,0.350974
client21,0.353426
client21,0.356456
client21,0.361388
client21,0.364501
client21,0.369351
client21,0.372455
client21,0.378413
client21,0.381675
client25,0.387067
client25,0.392018
client25,0.394972
client25,0.400156
client25,0.403858
client25,0.409831
client25,0.412921
client25,0.417841
client25,0.420838
client25,0.4239
client12,0.431508
client12,0.43658
client12,0.439471
client24,0.442671
client24,0.44684
client24,0.450589
client24,0.455826
client23,0.460566
client24,0.464892
client24,0.468557
client24,0.471514
client24,0.476624
client24,0.480724
client24,0.494556
client23,0.497109
client23,0.499874
client23,0.502459
client23,0.512867
client17,0.516572
client23,0.519154
client17,0.521734
client23,0.534413
client23,0.536915
client23,0.539869
client17,0.542384
client17,0.544845
client23,0.547672
client17,0.550103
client17,0.552989
client17,0.556034
client17,0.558475
client17,0.561173
client17,0.575675
client22,0.577924
client22,0.580471
client22,0.583426
client22,0.585915
client22,0.588361
client22,0.590793
client22,0.60263
client22,0.605212
client22,0.607558
client22,0.609984
client2,0.619684
client19,0.626258
client19,0.629046
client19,0.631442
client19,0.633846
client19,0.636299
client19,0.639109
client19,0.641599
client19,0.644199
client19,0.64648
client19,0.649261
client16,0.648105
client16,0.650991
client16,0.653968
client16,0.66703
client16,0.669371
client16,0.671901
client16,0.674318
client16,0.676718
client16,0.679143
client16,0.681833
client2,0.682184
client2,0.687106
client2,0.690545
client2,0.698624
client2,0.705125
client2,0.707496
client2,0.709876
client2,0.71234
client2,0.715947
client13,0.715412
client13,0.718759
client13,0.722429
client13,0.728232
client13,0.732404
client13,0.735359
client13,0.738391
client13,0.742822
client13,0.750018
client13,0.75567
client4,0.759339
client4,0.763021
client4,0.767126
client4,0.779469
client4,0.78252
client4,0.78503
client4,0.788543
client4,0.79114
client4,0.794808
client4,0.797983
client7,0.802294
client7,0.80519
client7,0.808113
client7,0.81412
client7,0.81909
client7,0.822427
client7,0.826234
client7,0.833546
client7,0.839127
client7,0.842022
client12,0.843875
client12,0.849764
client12,0.852784
client12,0.857755
client12,0.860713
client12,0.863932
client12,0.870882
client18,0.873427
client18,0.876404
client18,0.879416
client18,0.882343
client18,0.888304
client18,0.893338
client18,0.896631
client18,0.900379
client18,0.90445
client18,0.909207
client10,0.907875
client10,0.911182
client10,0.914691
client10,0.920731
client10,0.926594
client10,0.930893
client10,0.932853
client10,0.934853
client10,0.936902
client10,0.93848
client20,0.940898
client20,0.943004
client20,0.946814
client20,0.948978
client20,0.953933
client20,0.956696
client20,0.95878
client20,0.960913
client20,0.963035
client20,0.965225
