Sender,Time
client24,0.224057
client17,0.290785
client2,0.294457
client18,0.297073
client17,0.300755
client2,0.306319
client18,0.311595
client5,0.326523
client17,0.328715
client18,0.330418
client37,0.33436
client17,0.338636
client2,0.343151
client18,0.351468
client17,0.355186
client2,0.368248
client18,0.3699
client5,0.371595
client17,0.376472
client18,0.37936
client2,0.382115
client17,0.387107
client18,0.393502
client22,0.407165
client37,0.409021
client2,0.410697
client17,0.41349
client18,0.417462
client17,0.420556
client2,0.426392
client18,0.431387
client5,0.454618
client17,0.471277
client18,0.47379
client2,0.476271
client5,0.479212
client22,0.481593
client37,0.484665
client2,0.487408
client5,0.489821
client37,0.492088
client2,0.494445
client1,0.496782
client37,0.499663
client5,0.504599
client22,0.510756
client35,0.516617
client37,0.521421
client22,0.52641
client37,0.529826
client5,0.53542
client22,0.540613
client34,0.546408
client50,0.551396
client37,0.555549
client5,0.559827
client22,0.564551
client37,0.569414
client1,0.57439
client35,0.577789
client22,0.582534
client5,0.587765
client37,0.593656
client22,0.598386
client5,0.60368
client22,0.608648
client34,0.613687
client22,0.619506
client50,0.624353
client35,0.630321
client1,0.634692
client35,0.640345
client1,0.645457
client50,0.649319
client34,0.654463
client1,0.659309
client35,0.664609
client34,0.670699
client35,0.676481
client1,0.681687
client50,0.687553
client34,0.692637
client35,0.698632
client25,0.704469
client1,0.709471
client34,0.71542
client50,0.726585
client35,0.728813
client34,0.733198
client1,0.739087
client50,0.744208
client34,0.749435
client35,0.755257
client50,0.760112
client1,0.766518
client34,0.772158
client46,0.777366
client50,0.782594
client25,0.790211
client35,0.795356
client34,0.800243
client1,0.80849
client50,0.816549
client50,0.824476
client25,0.833466
client46,0.839517
client25,0.847477
client25,0.853274
client25,0.858354
client25,0.86426
client46,0.869282
client25,0.875138
client21,0.880101
client25,0.88524
client46,0.890508
client25,0.896457
client46,0.902071
client46,0.907706
client46,0.916763
client21,0.922856
client46,0.927978
client46,0.932949
client46,0.936738
client21,0.942586
client21,0.948433
client21,0.966384
client21,0.968732
client21,0.970837
client21,0.975818
client21,0.979602
client21,0.984143
client27,0.996755
client47,0.999238
client27,1.001826
client27,1.016809
client47,1.019398
client27,1.021951
client27,1.028263
client27,1.0334
client47,1.038301
client27,1.043568
client27,1.057176
client47,1.059725
client27,1.062141
client47,1.06727
client27,1.070251
client47,1.076496
client47,1.082547
client47,1.097385
client47,1.100026
client47,1.103973
client49,1.107876
client49,1.11331
client49,1.123846
client49,1.135037
client49,1.147067
client4,1.149677
client49,1.152584
client49,1.166526
client49,1.169378
client4,1.171986
client49,1.174451
client49,1.176834
client4,1.180611
client4,1.186078
client4,1.1938900000000001
client4,1.202651
client4,1.207693
client4,1.213747
client4,1.22099
client4,1.225717
client20,1.230609
client20,1.239168
client20,1.24631
client20,1.252091
client20,1.258102
client20,1.263051
client20,1.274452
client20,1.277023
client20,1.280958
client20,1.28613
client28,1.290927
client28,1.296952
client28,1.304357
client28,1.310807
client28,1.3157860000000001
client28,1.321598
client28,1.326927
client28,1.33258
client28,1.345256
client28,1.348595
client33,1.354609
client19,1.3608799999999999
client33,1.3685559999999999
client19,1.373812
client33,1.37973
client33,1.38579
client19,1.392587
client33,1.398473
client19,1.403831
client19,1.4093930000000001
client33,1.415389
client19,1.420425
client33,1.425527
client19,1.430506
client33,1.437365
client19,1.442738
client33,1.44846
client19,1.452385
client33,1.458871
client19,1.463419
client29,1.469412
client29,1.484551
client29,1.487087
client29,1.493133
client29,1.498154
client29,1.5041630000000001
client29,1.509501
client29,1.514264
client29,1.520168
client29,1.543745
client26,1.5459580000000002
client26,1.5485929999999999
client26,1.551647
client26,1.557207
client24,1.559753
client26,1.569097
client26,1.574867
client26,1.5776270000000001
client24,1.580051
client26,1.583494
client24,1.588246
client26,1.591229
client24,1.603569
client26,1.605872
client24,1.608106
client24,1.6103939999999999
client24,1.6153300000000002
client24,1.62052
client24,1.626317
client32,1.629947
client32,1.643288
client32,1.645546
client32,1.6483210000000001
client32,1.6531280000000002
client32,1.657883
client32,1.66319
client32,1.668015
client32,1.6925379999999999
client32,1.6947480000000001
client23,1.696801
client23,1.6990880000000002
client23,1.7015850000000001
client23,1.7043059999999999
client23,1.707422
client23,1.708986
client23,1.714075
client23,1.7170480000000001
client23,1.719853
client23,1.7280579999999999
client8,1.730432
client8,1.7346650000000001
client8,1.7398500000000001
client8,1.745541
client8,1.750642
client8,1.755557
client8,1.759538
client8,1.7627709999999999
client8,1.768607
client8,1.7736779999999999
client30,1.7782179999999999
client30,1.785215
client30,1.790043
client30,1.793213
client30,1.797994
client30,1.8028849999999998
client30,1.806557
client30,1.81094
client30,1.8158189999999998
client30,1.820883
client31,1.823342
client31,1.826662
client31,1.8410090000000001
client31,1.843308
client31,1.845385
client31,1.849839
client31,1.853429
client3,1.857803
client31,1.863657
client31,1.868949
client31,1.873625
client3,1.8787289999999999
client3,1.884712
client3,1.894531
client3,1.899617
client3,1.904629
client3,1.910618
client3,1.915644
client3,1.9214470000000001
client3,1.9253749999999998
client10,1.927986
client10,1.933872
client10,1.940801
client10,1.9467219999999998
client10,1.951686
client10,1.957795
client10,1.9636230000000001
client10,1.968972
client10,1.9749910000000002
client10,1.9807709999999998
client11,1.981194
client9,1.985888
client11,1.997862
client54,2.003055
client13,2.007952
client11,2.013982
client53,2.019037
client9,2.024142
client11,2.030128
client54,2.035846
client11,2.042055
client11,2.045778
client9,2.051808
client13,2.058111
client11,2.064597
client53,2.071025
client9,2.0759090000000002
client11,2.082027
client15,2.087108
client54,2.094257
client11,2.09989
client9,2.105787
client11,2.12033
client9,2.122695
client53,2.125107
client13,2.128089
client12,2.153142
client9,2.155747
client54,2.158142
client9,2.160664
client13,2.16369
client9,2.166509
client15,2.170317
client54,2.178364
client13,2.192745
client9,2.195315
client54,2.197582
client13,2.201122
client16,2.208074
client12,2.215767
client53,2.231311
client13,2.233697
client54,2.23601
client13,2.238533
client15,2.244758
client53,2.255779
client13,2.266798
client54,2.2729340000000002
client56,2.275028
client13,2.2768639999999998
client16,2.281625
client53,2.287737
client12,2.294952
client54,2.305051
client15,2.307664
client53,2.31366
client54,2.3190720000000002
client12,2.325018
client51,2.3327080000000002
client53,2.339859
client56,2.345024
client16,2.350924
client15,2.355847
client12,2.361039
client16,2.367584
client12,2.37498
client53,2.379018
client15,2.392122
client12,2.394506
client12,2.396948
client53,2.402015
client16,2.407782
client15,2.413885
client56,2.420998
client12,2.426978
client16,2.433684
client15,2.471346
client12,2.474207
client16,2.476729
client56,2.479207
client51,2.481793
client16,2.484373
client15,2.486732
client56,2.489016
client16,2.491785
client56,2.494037
client16,2.498747
client15,2.503915
client56,2.50982
client56,2.518595
client56,2.526984
client56,2.532898
client51,2.5387459999999997
client51,2.545603
client51,2.551724
client7,2.557762
client51,2.562533
client51,2.568857
client55,2.575022
client51,2.580871
client14,2.586674
client51,2.591587
client51,2.596835
client7,2.602655
client57,2.609849
client14,2.615834
client55,2.621592
client58,2.627566
client57,2.633609
client7,2.638766
client14,2.644509
client55,2.656827
client7,2.662003
client58,2.664448
client57,2.667545
client14,2.6736969999999998
client7,2.679491
client55,2.68481
client14,2.690741
client7,2.696507
client58,2.701763
client55,2.707404
client14,2.712403
client7,2.718291
client57,2.75101
client55,2.754325
client14,2.757229
client7,2.759567
client57,2.76219
client55,2.764678
client14,2.767224
client57,2.769234
client7,2.782485
client58,2.784555
client57,2.786667
client14,2.788773
client55,2.790733
client57,2.792807
client7,2.794819
client58,2.797027
client14,2.801491
client57,2.806663
client55,2.820956
client57,2.823079
client58,2.825531
client55,2.830667
client58,2.83732
client58,2.843498
client58,2.860087
client58,2.862269
client62,2.8621
client60,2.864491
client62,2.868813
client60,2.871991
client62,2.876786
client60,2.882861
client62,2.889823
client60,2.8975429999999998
client60,2.899724
client62,2.90274
client60,2.905972
client62,2.910811
client60,2.91668
client62,2.920681
client60,2.924831
client62,2.938593
client60,2.940858
client62,2.943029
client60,2.945109
client62,2.957669
client39,2.960068
client63,2.962381
client36,2.9666420000000002
client39,2.972118
client36,2.976477
client63,2.980445
client39,2.983596
client36,2.988641
client63,2.993408
client39,2.998418
client36,3.001472
client39,3.006536
client36,3.011426
client39,3.0164
client36,3.019373
client63,3.024581
client36,3.030143
client39,3.034371
client63,3.039175
client36,3.04315
client63,3.047393
client39,3.052387
client36,3.056553
client63,3.060749
client39,3.066322
client36,3.071326
client63,3.074692
client39,3.080719
client63,3.08545
client63,3.091315
client41,3.097457
client41,3.105397
client41,3.113179
client41,3.118439
client41,3.124287
client41,3.129447
client41,3.137497
client41,3.142304
client41,3.147283
client41,3.152413
client43,3.15807
client43,3.164438
client43,3.173184
client43,3.179107
client43,3.185462
client43,3.19113
client43,3.2058780000000002
client43,3.208171
client43,3.211726
client43,3.213951
client104,3.21898
client107,3.224238
client104,3.233239
client107,3.241003
client104,3.245987
client104,3.250964
client108,3.263852
client104,3.31993
client107,3.501876
client104,4.707202
client104,5.56694
client107,5.884146
client104,7.389723
client107,7.967782
client108,7.969956
client104,7.972226
client107,7.974567
client104,7.986857
client107,7.98912
client107,7.992063
client108,7.994401
client107,8.006932
client107,8.009559
client108,8.011862
client108,8.014565
client108,8.025938
client108,8.028495
client108,8.030528
client103,8.032764
client108,8.034869
client108,8.03738
client109,8.039721
client103,8.042199
client109,8.044465
client103,8.051755
client109,8.056908
client109,8.058918
client103,8.061147
client109,8.063429
client103,8.065962
