Sender,Time
client3,0.049786
client1,0.071698
client1,0.074415
client1,0.076818
client1,0.080186
client1,0.082779
client1,0.085454
client3,0.088199
client1,0.091194
client1,0.095923
client3,0.098665
client1,0.101509
client3,0.104137
client1,0.107004
client3,0.109878
client3,0.112495
client3,0.115175
client3,0.118166
client2,0.121066
client3,0.124173
client3,0.126816
client2,0.129346
client2,0.131944
client2,0.134726
client4,0.137266
client2,0.140417
client5,0.151275
client2,0.154044
client4,0.156901
client5,0.159331
client2,0.161959
client4,0.164523
client2,0.167532
client5,0.170152
client2,0.172745
client4,0.175425
client4,0.177975
client5,0.180896
client4,0.183378
client2,0.185913
client5,0.18842
client4,0.201069
client5,0.20358
client4,0.206067
client5,0.208778
client4,0.211461
client5,0.213965
client4,0.216514
client5,0.21902
client5,0.221492
