Recipient,1,2,3,4,5,6,7,8,9,10,Average
client9,0.062964,0.082325,0.088279,0.091076,0.096975,0.111546,0.130032,0.161155,0.175549,0.203227,0
client8,0.029158,0.067381,0.085127,0.094035,0.099947,0.136757,0.16752,0.186359,0.193179,0.226169,0
client10,0.116921,0.190174,0.217368,0.235969,0.249259,0.262066,0.275855,0.301145,0.315809,0.331778,0
client7,0.289668,0.346674,0.364608,0.380364,0.391267,0.41539,0.439322,0.441764,0.444906,0.476155,0
client6,0.42501,0.455919,0.491751,0.509629,0.520604,0.537484,0.549884,0.564549,0.585521,0.61026,0
