Recipient,1,2,3,4,5,6,7,8,9,10,Average
client901,593686000,592996000,593061000,593057000,593040000,593020000,592998000,592979000,592956000,592942000,593073500
client687,596971000,596504000,596499000,596403000,596302000,596193000,596060000,595995000,595951000,595878000,596275600
client698,593926000,593610000,593587000,593534000,593479000,593426000,593393000,593360000,593331000,593303000,593494900
client718,540536000,540119000,540113000,540086000,540061000,540035000,540008000,539984000,539966000,539943000,540085100
client916,829021000,828239000,828206000,828143000,828101000,828056000,828010000,827966000,827923000,827883000,828154800
client905,822217000,821709000,821675000,821636000,821592000,821547000,821504000,821463000,821423000,821381000,821614700
client917,822617000,822126000,816800000,816671000,816612000,816565000,816532000,816489000,816445000,816400000,817725700
client908,807531000,807001000,806970000,806928000,806889000,806846000,806805000,806765000,806727000,806688000,806915000
client919,805295000,802284000,794648000,794535000,794485000,794440000,794399000,794356000,794302000,794256000,796300000
client922,805615000,793669000,793619000,793553000,793506000,793463000,793416000,793373000,793330000,793281000,794682500
client935,798921000,798389000,798342000,798296000,798250000,798197000,798153000,798105000,798059000,798010000,798272200
client898,809019000,808508000,808471000,808425000,808376000,808328000,808288000,808241000,808198000,808153000,808400700
client923,802099000,801546000,801498000,801446000,801404000,801358000,801314000,801270000,801236000,801194000,801436500
client909,807582000,807080000,799738000,799593000,799544000,799490000,799445000,799401000,799360000,799317000,801055000
client932,785276000,782725000,782619000,782581000,782536000,782489000,782442000,782397000,782352000,782309000,782772600
client926,780228000,779636000,779585000,779530000,779481000,779423000,779370000,779318000,779265000,779216000,779505200
client651,497795000,497296000,497243000,497181000,497104000,497017000,496941000,496870000,496796000,496733000,497097600
client913,816637000,816080000,815987000,815904000,815822000,815736000,815662000,815585000,815542000,815480000,815843500
client902,812850000,800050000,799966000,799902000,799863000,799819000,799776000,799729000,799691000,799651000,801129700
client933,786962000,773163000,773069000,773002000,772944000,772875000,772811000,772750000,772691000,772633000,774290000
client729,499790000,499046000,498968000,498863000,498760000,498658000,498561000,498475000,498417000,498365000,498790300
client711,473145000,472449000,472365000,472262000,472162000,472059000,471960000,471865000,471767000,471675000,472170900
client937,819123000,818603000,818550000,818496000,818455000,818403000,818349000,818299000,818245000,818196000,818471900
client918,791864000,784942000,784769000,784699000,784588000,784320000,784144000,783671000,783522000,782762000,784928100
client893,804187000,791373000,791254000,791203000,791143000,791080000,791025000,790964000,790899000,790841000,792396900
client906,787005000,786468000,786432000,786392000,786348000,784116000,783699000,783383000,783153000,783009000,785000500
client895,794178000,789749000,789680000,789613000,788674000,788595000,788534000,788475000,788420000,788371000,789428900
client914,775214000,773206000,773090000,772982000,766724000,766556000,766472000,766389000,766311000,766236000,769318000
client676,499361000,498771000,498726000,498651000,498587000,498528000,498470000,498416000,498363000,498296000,498616900
client693,548955000,548283000,548201000,548098000,548002000,547901000,547804000,547709000,547615000,547523000,548009100
client679,539460000,538717000,538630000,538557000,538498000,538436000,538372000,538307000,538247000,538184000,538540800
client708,471790000,470993000,470911000,470854000,470782000,470707000,470638000,470580000,470514000,470462000,470823100
client661,489427000,488622000,488547000,488467000,488387000,488327000,488253000,488204000,488152000,488094000,488448000
client691,468987000,468465000,468421000,468343000,468278000,468217000,468161000,468104000,468044000,467996000,468301600
client712,459033000,458369000,458302000,458196000,458105000,458016000,457931000,457847000,457764000,457684000,458124700
client664,500561000,500031000,499996000,499932000,499877000,499818000,499761000,499713000,499667000,499593000,499894900
client669,470157000,469488000,469454000,469404000,469344000,469295000,469247000,469201000,469161000,483178000,470792900
client673,509491000,508860000,508827000,508774000,508720000,508664000,508608000,508556000,508503000,508454000,508745700
client660,552049000,444096000,444000000,443775000,443685000,443602000,443526000,443455000,443346000,443277000,454481100
client715,517378000,516910000,516851000,516792000,516748000,516677000,516603000,516544000,516494000,516459000,516745600
client701,636787000,528685000,527808000,527701000,527647000,527594000,527523000,527455000,527077000,526965000,538524200
client629,504857000,504309000,504216000,504131000,504055000,503987000,503904000,503763000,503683000,503612000,504051700
client675,467664000,467324000,467307000,467272000,467235000,467198000,467161000,467126000,467089000,467055000,467243100
client730,641649000,540540000,540501000,540460000,540369000,540324000,540215000,540168000,540114000,540037000,550437700
client650,621442000,523299000,523220000,523151000,523076000,523013000,522971000,522918000,522858000,522791000,532873900
client749,515619000,515077000,515021000,514950000,514885000,514812000,512798000,512706000,512667000,512636000,514117100
client725,444683000,444145000,444106000,444044000,443993000,443926000,443851000,443801000,443748000,443692000,443998900
client744,660023000,556176000,556134000,556095000,556066000,556038000,556007000,555978000,555950000,555879000,566434600
client636,429512000,429138000,429131000,429107000,429077000,429047000,429008000,428980000,428937000,428911000,429084800
client886,705726000,705208000,705155000,705102000,705052000,704997000,704941000,704891000,704840000,704790000,705070200
client702,436154000,435854000,435846000,435826000,435798000,435747000,435693000,435644000,435611000,435582000,435775500
client671,441940000,441676000,441660000,441626000,441583000,441537000,441492000,441437000,441381000,441327000,441565900
client738,530789000,530445000,530434000,530395000,530360000,530303000,414793000,414722000,414662000,414584000,484148700
client696,366981000,366625000,366612000,366575000,366536000,366490000,366442000,366404000,366362000,366327000,366535400
client633,489380000,488950000,488917000,488862000,488806000,488741000,488687000,488633000,488582000,376225000,477578300
client709,365071000,364684000,364672000,364640000,364610000,364567000,364523000,364484000,364441000,364406000,364609800
client688,541073000,540331000,540259000,540162000,430346000,430294000,430248000,430216000,430182000,430153000,474326400
client653,369836000,369494000,369479000,369436000,369399000,369363000,369328000,369295000,369261000,369230000,369412100
client720,546800000,546047000,545963000,545901000,545841000,545780000,545724000,545660000,417669000,417557000,520294200
client726,420729000,420122000,420050000,419956000,419871000,419786000,419705000,419628000,419555000,419478000,419888000
client670,461384000,460598000,460541000,460464000,460356000,460201000,460093000,459991000,459842000,334245000,447771500
client706,401162000,400807000,400767000,400728000,400674000,400597000,400513000,400447000,400381000,400322000,400639800
client642,410511000,409957000,409924000,409840000,409758000,409652000,409571000,409472000,409389000,409310000,409738400
client731,411388000,410793000,410716000,410647000,410562000,410479000,410402000,410325000,410242000,410168000,410572200
client728,427144000,426658000,426604000,426534000,426479000,426383000,426301000,426229000,426123000,426068000,426452300
client678,392317000,391692000,391629000,391552000,391479000,391398000,391310000,391224000,391148000,391080000,391482900
client681,704018000,703361000,703298000,703260000,703180000,703130000,703064000,703021000,702975000,702935000,703224200
client739,443922000,443322000,443259000,443188000,443113000,443033000,442951000,442876000,442799000,442726000,443118900
client682,615306000,614710000,614637000,614555000,614462000,614319000,613561000,613436000,613358000,613281000,614162500
client692,374578000,373884000,373827000,373745000,373662000,373579000,373498000,373374000,373246000,373168000,373656100
client695,444241000,443769000,443717000,443641000,443559000,443486000,443436000,443385000,443316000,443275000,443582500
client931,791703000,791236000,791282000,791272000,791257000,791241000,791224000,791207000,791191000,791180000,791279300
client924,790345000,789881000,789979000,790066000,790098000,789639000,789365000,789310000,789305000,789308000,789729600
client934,786438000,786020000,786064000,786060000,786046000,786085000,786081000,786058000,786041000,786033000,786092600
client880,830408000,829979000,830018000,830011000,830011000,829996000,829977000,829959000,829942000,829924000,830022500
client743,359215000,358721000,358705000,358662000,358618000,358574000,358531000,358488000,358442000,358401000,358635700
client912,806693000,806262000,806337000,806332000,806333000,806352000,806335000,806293000,806274000,806264000,806347500
