Recipient,1,2,3,4,5,6,7,8,9,10,Average
client600,346723000,346273000,346220000,346186000,346131000,346072000,346021000,345977000,345912000,345856000,346137100
client672,329189000,328466000,328423000,328351000,328291000,328235000,328170000,328121000,328062000,328018000,328332600
client623,295188000,293319000,293080000,292775000,292506000,292246000,292001000,291756000,291503000,291269000,292564300
client656,371420000,371108000,371108000,371081000,371060000,371035000,267990000,267381000,266842000,266277000,329530200
client681,239687000,237335000,237024000,236818000,236547000,236265000,235989000,235827000,235678000,235541000,236671100
client664,238109000,235824000,235604000,235282000,235034000,234666000,234379000,234112000,233858000,233651000,235051900
client653,236364000,234044000,233815000,233595000,233381000,233155000,232940000,232737000,232525000,228789000,233134500
client628,252704000,242999000,242875000,242715000,242570000,242423000,242269000,242126000,241913000,241707000,243430100
client637,214961000,213184000,212931000,212697000,212467000,212213000,211996000,211751000,211510000,211158000,212486800
client652,216280000,214005000,213573000,213084000,212667000,212264000,211872000,211486000,211066000,210684000,212698100
client647,207258000,205228000,204818000,204398000,204051000,203779000,203523000,203250000,203001000,202747000,204205300
client607,212547000,210785000,210564000,210335000,210123000,209911000,209709000,209509000,209316000,209120000,210191900
client601,201311000,200317000,200174000,199884000,199731000,199594000,199486000,199365000,199260000,199105000,199822700
client638,185677000,184812000,184738000,184715000,184645000,184578000,184511000,184444000,184379000,184313000,184681200
client655,356675000,356284000,356281000,356238000,356192000,247650000,246024000,245482000,93008000,92680000,270651400
client654,217918000,216732000,216676000,216573000,216451000,69330000,68906000,68489000,68138000,67898000,142711100
client696,28475000,26410000,26372000,26165000,26058000,25827000,25677000,25565000,25465000,25377000,26139100
client675,150158000,149328000,149314000,149259000,149188000,149117000,149046000,149025000,148960000,148896000,149229100
client666,5216000,4334000,4180000,4052000,3940000,3841000,3740000,3648000,3558000,3474000,3998300
client591,10769000,10342000,10318000,10264000,10208000,10147000,10104000,10069000,10034000,9997000,10225200
client588,7522000,7165000,7124000,7077000,7032000,6979000,6930000,6885000,6844000,6802000,7036000
client576,226931000,226606000,226574000,226566000,226544000,226510000,226487000,226457000,226434000,226406000,226551500
client665,954458000,954139000,954191000,954217000,954214000,954215000,954220000,954225000,954211000,954219000,954230900
client658,229738000,228537000,228419000,228309000,83423000,83114000,82521000,82211000,81650000,81092000,140901400
client649,963355000,963107000,963116000,963103000,963074000,963030000,962989000,962962000,962945000,962923000,963060400
client684,53386000,51240000,50998000,50691000,50426000,50236000,50081000,49941000,49803000,49681000,50648300
client635,950597000,950301000,950307000,950288000,950269000,950251000,950238000,950238000,950222000,950196000,950290700
client697,888682000,888482000,888511000,888613000,888673000,888703000,888747000,888798000,888864000,888910000,888698300
client667,282727000,280713000,280353000,279936000,279563000,279175000,278818000,278477000,278124000,133789000,265167500
client695,901201000,901067000,901211000,901290000,901336000,901370000,901400000,901426000,901462000,901500000,901326300
client590,82952000,82738000,82856000,82979000,83037000,83078000,83113000,83144000,83190000,83226000,83031300
client612,209511000,66024000,65852000,65474000,65330000,65145000,64960000,64781000,64453000,64164000,79569400
client685,217585000,214422000,214320000,214171000,213974000,213820000,213638000,213504000,73866000,73645000,186294500
client585,65937000,65642000,65774000,65833000,65871000,65933000,66055000,66091000,66123000,66183000,65944200
client541,279379000,279043000,279164000,279209000,279222000,279255000,279279000,279334000,279366000,279397000,279264800
client538,108925000,108533000,108628000,108655000,108659000,108667000,108682000,108686000,108699000,108712000,108684600
client644,13977000,12864000,12707000,12508000,12296000,12109000,11924000,11747000,11567000,11392000,12309100
client687,964726000,963661000,963589000,963616000,963556000,963503000,963450000,963465000,963504000,963555000,963662500
client395,167615000,165682000,165527000,165286000,165058000,164791000,164563000,164499000,164499000,164469000,165198900
client362,954341000,954023000,954006000,953964000,953929000,953889000,953850000,953815000,953780000,953748000,953934500
client642,870474000,870092000,870076000,870027000,869980000,869932000,869880000,869832000,869783000,869738000,869981400
client661,13448000,12580000,12528000,12386000,12241000,12078000,11987000,11901000,11818000,11732000,12269900
client359,27180000,24479000,24104000,23682000,23309000,23254000,23192000,23138000,23103000,23072000,23851300
client610,833353000,832721000,832656000,832571000,832496000,832406000,832323000,832247000,832174000,832054000,832500100
client366,901185000,900626000,900572000,900499000,900431000,900359000,900292000,900227000,900132000,900063000,900438600
client659,970220000,969831000,969822000,969823000,969804000,969781000,969761000,969744000,969730000,969718000,969823400
client358,906095000,905204000,905069000,904948000,904831000,904717000,904607000,904497000,904394000,904289000,904865100
client700,734631000,734387000,734451000,734531000,734519000,734511000,734500000,734491000,734485000,734479000,734498500
client673,766514000,766190000,766256000,766265000,766258000,766270000,766268000,766264000,766266000,766271000,766282200
client641,784076000,783611000,783582000,783559000,783512000,783468000,783425000,783390000,783358000,783324000,783530500
client355,892937000,892008000,891879000,891754000,891613000,891500000,891340000,891212000,891048000,890883000,891617400
client563,119298000,118964000,118985000,118976000,118951000,118931000,118914000,118897000,118884000,118872000,118967200
client470,319172000,318901000,318954000,319091000,319149000,319196000,319247000,319290000,319334000,319420000,319175400
client363,848174000,847819000,847793000,847735000,847678000,847617000,847555000,847498000,847440000,847380000,847668900
client524,14677000,14112000,14160000,14152000,14085000,14031000,13988000,13936000,13903000,13873000,14091700
client369,852485000,852162000,852143000,852106000,852049000,851989000,851932000,851895000,851863000,851829000,852045300
client515,340271000,339811000,339784000,339740000,339694000,339649000,339601000,339557000,339513000,339470000,339709000
client502,340237000,339851000,339828000,339781000,339741000,339694000,339646000,339597000,339552000,339509000,339743600
client682,714989000,714646000,714738000,714752000,714765000,714772000,714782000,714786000,714812000,714839000,714788100
client480,320520000,320243000,320227000,320188000,320154000,320112000,320066000,320025000,319981000,319941000,320145700
client403,318994000,318697000,318691000,318657000,318632000,318608000,318582000,318560000,318534000,318503000,318645800
client698,656356000,655898000,655931000,655910000,655869000,655832000,655796000,655764000,655724000,655696000,655877600
client423,315063000,314630000,314600000,314541000,314485000,314431000,314378000,314330000,314283000,314236000,314497700
client546,73192000,72900000,73006000,73025000,73021000,73019000,73012000,73019000,73034000,73049000,73027700
client592,64864000,64529000,64655000,64687000,64695000,64703000,64726000,64737000,64764000,64790000,64715000
client699,592729000,591944000,591923000,591831000,591793000,591757000,591670000,591586000,591504000,591428000,591816500
client539,68309000,68024000,68136000,68176000,68240000,68278000,68313000,68349000,68410000,68471000,68270600
client481,327459000,327150000,327143000,327109000,327080000,327051000,327022000,326994000,326969000,326943000,327092000
client597,900898000,900478000,900545000,900530000,900502000,900491000,900475000,900465000,900472000,900465000,900532100
client356,802907000,802503000,802482000,802466000,802434000,802399000,802362000,802312000,802276000,802242000,802438300
client669,690508000,689719000,689685000,689628000,689521000,689409000,689317000,689239000,689152000,689059000,689523700
client512,321430000,321144000,321134000,321121000,321092000,321064000,321037000,321011000,320986000,320952000,321097100
client554,851903000,851162000,851180000,851134000,851040000,850989000,850976000,850929000,850877000,850836000,851102600
client542,879297000,878615000,878579000,878639000,878613000,878565000,878514000,878474000,878402000,878363000,878606100
client604,843820000,843072000,843022000,843054000,843022000,842971000,842910000,842855000,842804000,842767000,843029700
client417,338414000,338139000,338126000,338111000,338083000,338053000,338025000,337999000,337972000,337947000,338086900
client367,893137000,892285000,892151000,892018000,891910000,891805000,891648000,891486000,891359000,891270000,891906900
