Recipient,1,2,3,4,5,6,7,8,9,10,Average
client672,642571000,641660000,641641000,641607000,641552000,641469000,641430000,641376000,641338000,641264000,641590800
client692,641252000,640851000,640819000,640778000,640735000,640699000,640651000,640608000,640564000,640523000,640748000
client617,806216000,805859000,805860000,805831000,805801000,805769000,805739000,805710000,805685000,805662000,805813200
client697,645092000,644533000,644498000,644494000,644460000,644431000,644399000,644364000,644336000,644307000,644491400
client700,628848000,628148000,628107000,628052000,627960000,627883000,627800000,627720000,627630000,627540000,627968800
client687,764720000,763935000,763868000,763755000,763623000,763539000,763457000,763359000,763277000,763199000,763673200
client652,775953000,775090000,775016000,774915000,774818000,774713000,774616000,774525000,774438000,774358000,774844200
client657,777338000,776572000,776498000,776404000,776308000,776200000,776105000,776002000,775909000,775817000,776315300
client653,780518000,779013000,778895000,778830000,778732000,778629000,778529000,778438000,778339000,778247000,778817000
client647,777632000,769047000,768949000,768832000,768724000,768613000,768481000,768371000,768245000,768122000,769501600
client602,781881000,781010000,780918000,780807000,780695000,780593000,780491000,780383000,780288000,780199000,780726500
client621,781566000,780698000,780618000,780505000,780364000,780266000,780057000,779804000,776749000,776586000,779721300
client642,776345000,775510000,775433000,775313000,775213000,775116000,775028000,774942000,774736000,774579000,775221500
client616,769457000,768816000,768738000,768660000,768568000,768468000,768369000,768258000,768132000,768018000,768548400
client645,766991000,766258000,766163000,766063000,765993000,765921000,765849000,765767000,765698000,765630000,766033300
client673,623688000,622869000,622784000,622702000,622609000,622505000,622408000,622312000,622199000,621254000,622533000
client556,574519000,574049000,574013000,573920000,573838000,573756000,573690000,573645000,573602000,573563000,573859500
client551,519821000,519122000,519052000,518967000,518890000,518814000,518702000,518580000,518502000,518431000,518888100
client584,478016000,477299000,477241000,477162000,477044000,476963000,476898000,476827000,476732000,476604000,477078600
client540,494542000,493419000,493272000,493095000,492928000,492760000,492582000,492420000,492248000,492092000,492935800
client600,470967000,469794000,469648000,469532000,469476000,469418000,469364000,469313000,469262000,469213000,469598700
client533,499392000,499284000,499234000,499211000,499160000,499103000,499041000,498956000,498887000,498844000,499111200
client585,466835000,466563000,466550000,466521000,466481000,466438000,466398000,466357000,466320000,466284000,466474700
client559,473221000,472870000,472813000,472760000,472724000,472674000,472634000,472605000,472576000,472551000,472742800
client539,494431000,494131000,494118000,494083000,494037000,493981000,493927000,493888000,493859000,493826000,494028100
client578,460302000,460030000,460022000,459987000,459953000,459904000,459867000,459820000,459764000,459707000,459935600
client523,481833000,479978000,479758000,479465000,479159000,478926000,478706000,478491000,478280000,478063000,479265900
client607,689605000,689015000,688792000,688672000,688618000,688576000,688525000,688470000,688407000,688348000,688702800
client689,534746000,534178000,534116000,534049000,533976000,533905000,533832000,533746000,533668000,532439000,533865500
client674,533226000,532659000,532583000,532539000,532462000,532392000,532331000,532268000,532200000,532142000,532480200
client699,498483000,497903000,497881000,497822000,497754000,497702000,497606000,497543000,497479000,497428000,497760100
client688,513458000,512839000,512770000,512691000,512621000,512550000,512484000,510875000,510773000,510673000,512173400
client625,679891000,677997000,677996000,678088000,678085000,678100000,678083000,678061000,678038000,678026000,678236500
client680,532216000,531590000,531495000,531401000,531307000,531214000,531126000,531044000,530943000,530861000,531319700
client696,544736000,544178000,544087000,544063000,543977000,543796000,543683000,543643000,543605000,543568000,543933600
client675,543299000,542724000,542666000,542561000,542434000,542306000,542184000,542049000,541980000,541915000,542411800
client534,467268000,466910000,466927000,466885000,466850000,466813000,466781000,466748000,466704000,466668000,466855400
client528,494065000,493687000,493652000,493604000,493552000,493499000,493444000,493392000,493355000,493329000,493557900
client603,572677000,572170000,572189000,572164000,572085000,572050000,572018000,571986000,571948000,571918000,572120500
client665,546356000,545789000,545705000,543328000,543094000,542866000,542694000,542514000,541675000,541574000,543559500
client508,614236000,505880000,505780000,505695000,505564000,505505000,505378000,505340000,505297000,505259000,516393400
client686,508316000,507715000,506079000,505948000,505869000,505794000,505719000,505646000,505571000,505494000,506215100
client676,571322000,570941000,570957000,570724000,569357000,568685000,568618000,568592000,568559000,568535000,569629000
client659,524719000,523779000,523694000,523309000,523218000,523146000,523069000,523002000,522921000,522847000,523370400
client664,662640000,662129000,662108000,662064000,662026000,661983000,661941000,661892000,661855000,661818000,662045600
client662,550370000,549685000,549605000,549429000,548944000,548470000,548389000,548316000,548249000,548175000,548963200
client681,520382000,519787000,519742000,519680000,519618000,519558000,519500000,519444000,519387000,519334000,519643200
client682,540139000,539579000,539497000,539457000,539397000,539337000,539283000,527346000,527170000,523951000,535515600
client666,662516000,662078000,662000000,661984000,662202000,662159000,662108000,662061000,662010000,665512000,662463000
client530,475852000,475452000,475439000,475384000,475326000,475270000,475221000,475191000,475161000,475131000,475342700
client683,663800000,663285000,663260000,663213000,663164000,660656000,660557000,660497000,660450000,660404000,661928600
client605,577220000,576823000,576833000,576943000,576977000,576800000,576684000,576581000,576466000,576381000,576770800
client624,698158000,697510000,697431000,697386000,697327000,697268000,697211000,697151000,697092000,697029000,697356300
client677,665286000,664736000,664730000,664687000,664640000,664594000,664553000,664141000,660340000,660219000,663792600
client646,668339000,667781000,667745000,667694000,667639000,667589000,667541000,667497000,667454000,667444000,667672300
client618,579262000,578792000,578786000,578813000,578756000,578717000,578645000,578535000,578437000,578295000,578703800
client691,580866000,580447000,580568000,580530000,580526000,580541000,580578000,580680000,580635000,580635000,580600600
client655,663654000,663144000,663135000,663105000,663064000,663026000,662990000,662953000,662922000,662893000,663088600
client670,666338000,665766000,665717000,665653000,665603000,665550000,665495000,665444000,665391000,665338000,665629500
client651,667840000,667291000,667239000,667196000,667151000,667100000,667052000,667006000,666963000,666914000,667175200
client628,668659000,668108000,668069000,668031000,667982000,665554000,665441000,663711000,663575000,663503000,666263300
client627,691201000,690777000,690697000,690655000,690598000,690529000,690467000,690611000,690576000,690518000,690662900
client601,690127000,689559000,689505000,689455000,689385000,689326000,689264000,689207000,689145000,689091000,689406400
client614,692158000,691549000,685811000,685524000,685426000,685359000,685297000,685240000,685175000,685117000,686665600
client629,687526000,686924000,686872000,686807000,686745000,686675000,686604000,686495000,686411000,686352000,686741100
client606,687547000,687024000,686970000,686905000,686839000,686775000,686716000,686660000,686600000,686537000,686857300
client694,501238000,491989000,491897000,491864000,491820000,491772000,491724000,491681000,491642000,491602000,492722900
client611,699883000,699332000,674733000,674638000,674596000,674541000,674489000,674434000,674376000,674319000,679534100
client633,684776000,677993000,677906000,677828000,677766000,677706000,677645000,677583000,677521000,677458000,678418200
client678,526604000,526227000,526313000,526331000,526337000,526333000,526323000,526329000,526331000,526337000,526346500
client635,667868000,667253000,667190000,667116000,667053000,666986000,666921000,666865000,666807000,666754000,667081300
client654,618071000,617548000,617533000,617496000,617473000,617437000,617411000,617375000,617343000,617309000,617499600
client679,617668000,617123000,617076000,616985000,616927000,616867000,616814000,616763000,616718000,616719000,616966000
client619,663863000,663279000,663230000,663159000,663099000,663034000,662974000,662914000,662856000,662805000,663121300
