Recipient,1,2,3,4,5,6,7,8,9,10,Average
client449,515571000,514972000,515054000,515015000,514971000,514921000,514922000,514923000,514924000,514851000,515012400
client547,346236000,345273000,345156000,345038000,345004000,344968000,344930000,344861000,344781000,344669000,345091600
client525,324487000,323967000,323904000,323859000,323801000,323742000,323683000,323632000,323582000,323533000,323819000
client483,478526000,478370000,478512000,478535000,478544000,478556000,478581000,478616000,478710000,478752000,478570200
client553,421451000,421274000,421409000,421477000,421523000,421600000,421672000,421716000,421764000,421817000,421570300
client565,220852000,220492000,220472000,220445000,220407000,220375000,220341000,220306000,220277000,220247000,220421400
client589,186586000,186232000,186255000,186352000,186400000,186423000,186457000,186476000,186497000,186528000,186420600
client465,450643000,450233000,450250000,450266000,450262000,450255000,450246000,450212000,450176000,450143000,450268600
client386,410636000,410415000,410482000,410493000,410479000,410459000,410435000,410436000,410486000,410511000,410483200
client404,415399000,415219000,415310000,415349000,415392000,415416000,415434000,415445000,415461000,415478000,415390300
client443,380430000,237650000,237422000,237206000,236867000,236540000,236212000,235652000,235429000,235137000,250854500
client499,489811000,489315000,489237000,489156000,489062000,488967000,488868000,488775000,488685000,488596000,489047200
client481,487642000,487210000,487184000,487147000,487088000,487036000,486987000,486921000,486871000,486829000,487091500
client405,428316000,428169000,428243000,428364000,428396000,428421000,428451000,428475000,428495000,428521000,428385100
client425,429913000,429693000,429712000,429817000,429871000,429908000,429948000,429982000,429997000,430023000,429886400
client557,306439000,305974000,305952000,305908000,305869000,305825000,305779000,305740000,305700000,305662000,305884800
client459,520985000,520747000,520829000,520917000,520947000,520981000,520956000,520934000,520939000,520948000,520918300
client530,329333000,328837000,328811000,328772000,328734000,328668000,328613000,328570000,328533000,328499000,328737000
client401,409151000,408997000,409066000,409102000,409121000,409191000,409211000,409226000,409242000,409263000,409157000
client356,402934000,401326000,401218000,400993000,400812000,400646000,400486000,400326000,400171000,400027000,400893900
client569,112164000,111346000,111245000,111163000,111057000,110959000,110862000,110766000,110664000,110579000,111080500
client536,135446000,133803000,133557000,133269000,132982000,132742000,132498000,132265000,132023000,131784000,133036900
client540,311596000,311231000,311191000,311146000,311100000,311052000,311008000,310968000,310923000,310884000,311109900
client529,300300000,299828000,299803000,299763000,299719000,299680000,299639000,299596000,299555000,299519000,299740200
client513,330594000,328995000,328779000,328577000,328394000,328216000,327948000,327777000,327609000,327420000,328430900
client471,325777000,324394000,324214000,324019000,323867000,323665000,323491000,323349000,323209000,323100000,323908500
client544,111571000,109932000,109694000,109427000,109179000,108932000,108682000,108448000,108214000,108012000,109209100
client545,101748000,100094000,99846000,99592000,99367000,99172000,98885000,98701000,98518000,98331000,99425400
client497,480038000,479452000,479403000,479320000,479243000,479171000,479108000,479037000,478972000,478903000,479264700
client464,461108000,460679000,460683000,460680000,460650000,460619000,460583000,460552000,460526000,460501000,460658100
client380,145573000,144591000,144507000,144363000,144223000,144072000,143926000,143790000,143646000,143502000,144219300
client524,62087000,61354000,61275000,61165000,61036000,60933000,60822000,60717000,60635000,60572000,61059600
client437,203890000,201386000,201087000,200707000,200268000,199947000,199635000,199328000,199027000,198735000,200401000
client377,218320000,216078000,215754000,215440000,215179000,214927000,214671000,214357000,214055000,213811000,215259200
client597,59394000,58230000,58187000,58117000,58074000,57977000,57852000,57785000,57671000,57539000,58082600
client502,483876000,483321000,483271000,483187000,483109000,483037000,482970000,482898000,482822000,482763000,483125400
client505,197455000,197054000,197058000,197030000,196992000,196946000,196901000,196858000,196815000,196781000,196989000
client543,969589000,969071000,969009000,968940000,968881000,968812000,968742000,968677000,968611000,968548000,968888000
client473,198616000,198275000,198310000,198298000,198276000,198290000,198274000,198256000,198231000,198214000,198304000
client579,930570000,930152000,930222000,930209000,930190000,930171000,930140000,930143000,930125000,930110000,930203200
client537,980245000,979800000,979742000,979673000,979626000,979578000,979524000,979470000,979422000,979363000,979644300
client394,197428000,195935000,195587000,191142000,191002000,190898000,190799000,190703000,190593000,190496000,192458300
client546,55769000,55172000,55109000,55032000,54961000,54883000,54813000,54751000,54680000,54578000,54974800
client315,154729000,153462000,153323000,153140000,152990000,152858000,152741000,152587000,152434000,152286000,153055000
