Recipient,1,2,3,4,5,6,7,8,9,10,Average
client412,519551000,519107000,519069000,519005000,518945000,518888000,518828000,518772000,518733000,518678000,518957600
client415,506218000,505439000,505365000,505352000,505307000,505243000,505091000,505022000,504975000,504939000,505295100
client391,519539000,519104000,519083000,519037000,518980000,518933000,518877000,518820000,518774000,518724000,518987100
client398,519608000,519155000,519110000,519044000,518857000,518790000,518734000,518682000,518633000,518535000,518914800
client400,516781000,516291000,516220000,516143000,516078000,516009000,515946000,515881000,515776000,515712000,516083700
client393,519091000,518617000,518571000,518509000,518449000,518389000,518333000,518274000,518214000,518159000,518460600
client378,532153000,531734000,531706000,531648000,531591000,531530000,531473000,531416000,531336000,531282000,531586900
client390,521548000,521021000,520975000,520942000,520885000,520836000,520783000,520720000,520669000,520621000,520900000
client368,515061000,514888000,514928000,514957000,514928000,514895000,514857000,514829000,514801000,514763000,514890700
client348,538780000,537654000,537657000,537620000,537564000,537510000,537468000,537439000,537411000,537385000,537648800
client356,541239000,540213000,540200000,540166000,540116000,540066000,540014000,539980000,539955000,539928000,540187700
client418,419036000,418716000,418709000,418698000,418673000,418650000,418627000,418605000,418578000,418535000,418682700
client410,411526000,411223000,411171000,411133000,411093000,411044000,410995000,410960000,410910000,410867000,411092200
client414,411026000,410659000,410627000,410622000,410596000,410564000,410536000,410510000,410483000,410458000,410608100
client264,537351000,536875000,536820000,536778000,536720000,536666000,536619000,536575000,536533000,536492000,536742900
client260,544052000,543558000,543460000,543391000,543308000,543216000,543140000,543074000,542984000,542899000,543308200
client265,539075000,538472000,538411000,538357000,538267000,538174000,538071000,537991000,537902000,537818000,538253800
client392,511589000,511115000,511027000,510966000,510921000,510862000,510810000,510768000,510738000,510696000,510949200
client394,512947000,512430000,512390000,512319000,512284000,512228000,512174000,512123000,512072000,512023000,512299000
client380,515527000,515245000,515237000,515209000,515179000,515152000,515118000,515091000,515065000,515037000,515186000
client339,529397000,529124000,529115000,529124000,529091000,529058000,529025000,528997000,529160000,529139000,529123000
client478,209445000,207823000,207745000,207584000,207448000,207298000,207141000,206982000,206848000,206722000,207503600
client357,518444000,518100000,518068000,518017000,517979000,517908000,517867000,517827000,517790000,517751000,517975100
client351,345139000,342645000,342413000,342157000,341829000,341589000,341362000,341129000,340917000,340710000,341989000
client383,518347000,517980000,517951000,517941000,517912000,517883000,517854000,517825000,517797000,517771000,517926100
client490,343269000,342932000,343092000,343148000,343179000,343216000,343253000,343290000,343336000,343383000,343209800
client397,302934000,298171000,297702000,297225000,296784000,296415000,296025000,295606000,295326000,295051000,297123900
client462,207893000,203946000,203314000,202882000,202445000,202013000,201633000,201267000,200925000,200557000,202687500
client497,188977000,186129000,185891000,185573000,185261000,184970000,184667000,184232000,183936000,183645000,185328100
client495,185958000,183002000,182711000,182331000,181990000,181574000,181193000,180740000,180406000,179885000,181979000
client376,427564000,427005000,427029000,426961000,426896000,426832000,426771000,426713000,426656000,426975000,426940200
client411,282527000,279797000,279468000,277745000,268650000,268185000,267863000,267585000,267375000,267159000,272635400
client481,207213000,204388000,203932000,203477000,202785000,202457000,202173000,201813000,191206000,190982000,201042600
client342,529073000,528519000,528477000,528421000,528368000,528328000,528298000,528271000,528244000,528220000,528421900
client343,526015000,525577000,525539000,525483000,525438000,525401000,525367000,525338000,525311000,525264000,525473300
client355,320525000,318619000,318248000,317835000,317454000,317069000,316654000,316156000,315784000,315379000,317372300
client354,524461000,524158000,524153000,524118000,524082000,524052000,524019000,523989000,523965000,523937000,524093400
client453,209831000,208575000,208407000,208120000,206461000,206195000,205985000,205768000,205561000,204205000,206910800
client417,427360000,427052000,427022000,427014000,426996000,426966000,426936000,426911000,426883000,426856000,426999600
client487,194323000,193304000,193208000,193109000,192927000,192782000,192659000,192537000,192415000,192167000,192943100
client364,316473000,314222000,313930000,313693000,313406000,313116000,312839000,312568000,312305000,312018000,313457000
client498,152355000,151308000,151145000,147630000,147445000,147322000,147210000,147101000,147010000,146961000,148548700
client258,523373000,522874000,522844000,522794000,522735000,522686000,522642000,522596000,522551000,522509000,522760400
client345,332691000,330718000,330451000,330124000,329850000,329616000,329431000,329252000,329061000,328850000,330004400
client403,270110000,269259000,269104000,268954000,268819000,268681000,268565000,268467000,268366000,268273000,268859800
client353,315288000,313186000,312891000,312563000,312252000,311904000,311455000,311102000,310848000,310630000,312211900
client482,169200000,168745000,168782000,168767000,168767000,168755000,168741000,168723000,168672000,168643000,168779500
client385,273623000,273037000,272983000,272921000,272868000,272816000,272765000,272725000,272682000,272645000,272906500
client439,208028000,207625000,207653000,207651000,207602000,207554000,207513000,207501000,207478000,207469000,207607400
client326,521664000,521359000,521346000,521314000,521282000,521251000,521225000,521194000,521166000,521139000,521294000
client379,430351000,429999000,429985000,429954000,429917000,429884000,429851000,429813000,429782000,429753000,429928900
client395,270018000,269439000,269370000,269282000,269203000,269126000,269055000,268995000,268955000,268887000,269233000
client280,562989000,562005000,561924000,561943000,561911000,561869000,561827000,561789000,561717000,561622000,561959600
client301,562173000,561262000,561174000,561201000,561170000,561119000,561074000,561026000,561011000,560972000,561218200
client373,286305000,285317000,285182000,285051000,284923000,284813000,284704000,284595000,284485000,284380000,284975500
client300,560302000,559527000,559574000,559527000,559479000,559409000,559359000,559289000,559221000,559169000,559485600
client473,149183000,148951000,149066000,149192000,149263000,149306000,149341000,149380000,149419000,149463000,149256400
client327,593823000,593297000,593242000,593227000,593187000,593148000,593119000,593076000,593040000,593003000,593216200
client278,597849000,596461000,596439000,596396000,596349000,596305000,596257000,596214000,596170000,596124000,596456400
client317,307163000,306576000,306516000,306446000,306366000,306309000,306255000,306201000,306148000,306096000,306407600
client292,599681000,598524000,598430000,598314000,592279000,592170000,592103000,592055000,592018000,591987000,594756100
client313,313691000,313136000,313080000,313037000,312987000,312926000,312868000,312810000,312751000,312680000,312996600
client259,528951000,528446000,528405000,528348000,528294000,528236000,528181000,528127000,528064000,528004000,528305600
client372,270604000,269995000,270015000,269966000,269900000,269853000,269807000,269780000,261635000,261513000,268306800
client319,301958000,301604000,301564000,301530000,301502000,301472000,301443000,301415000,301390000,301361000,301523900
client477,122160000,121984000,122086000,122130000,122156000,122174000,122199000,122221000,122250000,122283000,122164300
client492,113851000,113715000,113838000,113882000,113906000,113922000,113925000,113936000,113940000,113952000,113886700
client361,260352000,260069000,260059000,260029000,259981000,259950000,259920000,259893000,259862000,259835000,259995000
client268,306411000,306101000,306068000,306052000,306022000,305993000,305963000,305934000,305906000,305881000,306033100
client341,264992000,264697000,264686000,264652000,264619000,264590000,264561000,264533000,264505000,264478000,264631300
client371,229298000,229074000,229185000,229248000,229259000,229242000,229221000,229203000,229183000,229159000,229207200
client369,225770000,225428000,225550000,225583000,225625000,225646000,225655000,225666000,225677000,225701000,225630100
client318,272410000,271951000,271912000,271845000,271791000,271734000,271678000,271627000,271578000,271529000,271805500
client479,115722000,113285000,112955000,112563000,112220000,111858000,111488000,111110000,110744000,110386000,112233100
client359,234244000,233944000,233943000,233910000,233861000,233807000,233756000,233727000,233700000,233670000,233856200
client386,200141000,198555000,198424000,198263000,198081000,197968000,197829000,197691000,197568000,197450000,198197000
client499,50462000,50340000,50393000,50545000,50617000,50667000,50726000,50779000,50815000,50874000,50621800
client325,558781000,558079000,558130000,558132000,558131000,558100000,558070000,558000000,557976000,557972000,558137100
client306,562806000,561709000,561621000,561580000,561525000,561459000,559748000,559572000,547154000,547094000,558426800
client284,558824000,558178000,558196000,558252000,558262000,558247000,558216000,558191000,558176000,558163000,558270500
client297,603830000,603242000,603214000,603155000,603096000,603029000,602967000,602911000,602862000,602810000,603111600
client370,151004000,150668000,150656000,150627000,150596000,150565000,150535000,150505000,150477000,150449000,150608200
client287,561012000,557918000,557882000,557821000,557777000,557718000,557710000,557717000,557692000,551871000,557511800
client276,212028000,211686000,211652000,211637000,211601000,211569000,211538000,211508000,211478000,211451000,211614800
client256,234273000,233945000,233926000,233893000,233864000,233830000,233791000,233757000,233722000,233691000,233869200
client254,245740000,245397000,245365000,245344000,245302000,245260000,245216000,245165000,245118000,245067000,245297400
client267,360057000,359274000,359162000,359056000,358971000,358915000,358834000,358762000,358680000,358606000,359031700
client486,136512000,136303000,136434000,136616000,136672000,136717000,136753000,136792000,136839000,136880000,136651800
client335,322606000,321774000,321679000,318507000,318373000,318268000,318179000,318049000,317919000,317802000,319315600
client423,54847000,54352000,54274000,54198000,54136000,54081000,54024000,53968000,53906000,53850000,54163600
client476,971424000,971155000,971283000,971332000,971341000,971347000,971347000,971356000,971389000,971416000,971339000
client459,116078000,113419000,113055000,112610000,112222000,111827000,111438000,111100000,110752000,110394000,112289500
client253,329143000,328786000,328765000,328714000,328659000,328623000,328588000,328542000,328503000,328467000,328679000
client399,203729000,201696000,201328000,200886000,200462000,200035000,199641000,199269000,199000000,198742000,200478800
client406,49335000,48800000,48740000,48693000,48601000,48525000,48444000,48369000,48299000,48233000,48603900
client340,312355000,311146000,310875000,310681000,310493000,310321000,310161000,310004000,309785000,309522000,310534300
client285,563397000,562407000,561141000,561130000,561054000,561002000,560959000,560929000,560889000,560859000,561376700
client257,170116000,169354000,169321000,169256000,169199000,169137000,169078000,169019000,168950000,168861000,169229100
client401,244835000,244456000,244422000,244377000,244333000,244290000,244248000,244210000,244161000,244114000,244344600
client457,149302000,148951000,148990000,148970000,148946000,148936000,148915000,148891000,148874000,148871000,148964600
client475,73352000,73177000,73311000,73376000,73412000,73453000,73522000,73563000,73613000,73656000,73443500
client387,58717000,57991000,57919000,57835000,57749000,57663000,57569000,57485000,57403000,57324000,57765500
client404,161438000,161054000,161018000,160963000,160912000,160860000,160807000,160757000,160705000,160655000,160916900
client336,106203000,105163000,105007000,104866000,104736000,104606000,104479000,104335000,104059000,103899000,104735300
client337,229204000,228872000,228866000,228842000,228819000,228794000,228761000,228717000,228694000,228673000,228824200
client262,335960000,335664000,335634000,335623000,335590000,335563000,335537000,335510000,335479000,335436000,335599600
client447,946343000,946100000,946124000,946115000,946103000,946094000,946075000,946061000,946053000,946045000,946111300
client460,941768000,941504000,941532000,941498000,941459000,941416000,941396000,941377000,941367000,941353000,941467000
client374,66800000,65218000,64921000,64665000,64362000,64067000,63784000,63510000,63304000,63107000,64373800
client349,210093000,209823000,209803000,209775000,209746000,209723000,209693000,209665000,209637000,209613000,209757100
client288,338155000,336498000,336424000,336242000,336060000,335882000,335727000,335612000,335482000,335254000,336133600
client409,22970000,22648000,22639000,22594000,22536000,22477000,22434000,22402000,22372000,22344000,22541600
client389,28669000,28362000,28351000,28325000,28294000,28268000,28246000,28220000,28192000,28167000,28309400
client485,906836000,906729000,906873000,906944000,906991000,907041000,907077000,907108000,907145000,907198000,906994200
client382,32000000,31655000,31619000,31569000,31519000,31465000,31414000,31365000,31312000,31262000,31518000
client384,158796000,158525000,158517000,158490000,158465000,158438000,158413000,158388000,158367000,158346000,158474500
client274,99653000,97365000,97006000,96667000,96348000,96036000,95722000,95430000,95144000,94857000,96422800
client408,5889000,5583000,5566000,5557000,5542000,5515000,5490000,5467000,5447000,5426000,5548200
client458,32867000,32381000,32392000,32375000,32351000,32326000,32299000,32275000,32252000,32234000,32375200
client363,34819000,32688000,32399000,31970000,31676000,31408000,31069000,30583000,30252000,29919000,31678300
client360,47189000,45314000,45139000,44938000,44724000,44536000,44321000,36817000,36455000,35894000,42532700
client271,269333000,268991000,268958000,268944000,268919000,268891000,268857000,268830000,268787000,268761000,268927100
client314,312714000,311308000,311260000,311121000,310980000,310839000,310671000,309258000,309149000,309039000,310633900
client454,907930000,907588000,907602000,907616000,907604000,907582000,907562000,907545000,907510000,907494000,907603300
client358,42762000,40579000,40289000,39847000,39434000,38927000,38587000,38274000,37961000,32160000,38882000
client402,990052000,989716000,989670000,989612000,989553000,989496000,989440000,989387000,989333000,989282000,989554100
client474,867206000,866874000,866994000,867041000,867068000,867088000,867108000,867133000,867164000,867225000,867090100
client320,61663000,59399000,59002000,58633000,58290000,57962000,57623000,57277000,57079000,56909000,58383700
client468,890343000,890053000,890077000,890051000,890020000,889991000,889964000,889934000,889917000,889892000,890024200
client461,885121000,884725000,884748000,884725000,884687000,884645000,884604000,884567000,884530000,884495000,884684700
client483,871054000,870866000,870886000,870955000,870942000,870934000,870931000,870923000,870919000,870934000,870934400
client467,890788000,890268000,890240000,890193000,890156000,890138000,890120000,890104000,890092000,890080000,890217900
client346,197683000,197371000,197365000,197341000,197317000,197289000,197262000,197232000,197206000,197182000,197324800
client472,853252000,853108000,853159000,853295000,853343000,853389000,853430000,853481000,853524000,853568000,853354900
client303,331401000,329935000,329781000,329537000,329322000,329162000,329017000,328852000,328588000,328328000,329392300
client362,21783000,20249000,20044000,19807000,19567000,19259000,19004000,2913000,2371000,1965000,14696200
client298,320791000,318968000,318666000,318383000,318120000,317843000,317555000,317270000,316995000,316499000,318109000
client279,276331000,274662000,274454000,274191000,273937000,273671000,273430000,273174000,272938000,272711000,273949900
client334,237716000,235623000,235412000,235113000,234833000,233983000,233665000,233274000,232965000,232543000,234512700
client466,845090000,844836000,844883000,844885000,844885000,844881000,844881000,844880000,844877000,844879000,844897700
client331,8986000,7943000,7855000,7737000,7653000,7560000,7468000,7379000,7291000,7200000,7707200
client469,832492000,832325000,832345000,832426000,832446000,832462000,832484000,832502000,832516000,832534000,832453200
client493,817940000,817823000,817983000,818057000,818113000,818167000,818213000,818257000,818337000,818401000,818129100
client446,853757000,853444000,853441000,853437000,853411000,853372000,853343000,853315000,853290000,853251000,853406100
client311,240843000,240251000,240384000,240423000,240455000,240463000,240466000,240467000,240456000,240472000,240468000
client281,257883000,257402000,257396000,257394000,257354000,257304000,257264000,257228000,257199000,257172000,257359600
client456,819405000,819090000,819104000,819072000,819043000,819042000,819010000,818982000,818956000,818930000,819063400
