Recipient,1,2,3,4,5,6,7,8,9,10,Average
client76,861643000,861128000,861210000,855621000,855625000,855637000,855656000,855671000,855662000,855698000,857355100
client79,870413000,870061000,870091000,870188000,870201000,870189000,870181000,870170000,870157000,870150000,870180100
client77,862981000,862620000,862684000,862687000,862675000,862661000,862643000,862627000,862611000,862601000,862679000
client78,862792000,862374000,862413000,862407000,862392000,862373000,862352000,862333000,862314000,862300000,862405000
client80,857520000,857031000,857077000,857074000,857060000,857041000,854987000,854945000,854905000,854893000,856253300
client75,845685000,845330000,845356000,845479000,845519000,845554000,845594000,845627000,845662000,845699000,845550500
client70,842970000,842095000,842192000,842263000,843127000,843196000,843210000,843259000,843302000,843366000,842898000
client67,839178000,838904000,838923000,839023000,839051000,839080000,839107000,839126000,839152000,839222000,839076600
client68,838854000,838481000,838492000,838599000,838628000,838658000,838693000,838729000,838754000,838796000,838668400
client64,838624000,838170000,838282000,838318000,838333000,838342000,838358000,838385000,838401000,838412000,838362500
client65,838473000,837975000,838013000,837932000,837951000,837975000,837992000,838000000,837984000,837964000,838025900
client59,840979000,840608000,840578000,840542000,840492000,840434000,840377000,840321000,840287000,840242000,840486000
client62,836226000,835829000,835925000,835316000,835303000,835314000,835330000,835348000,835364000,835389000,835534400
client54,836909000,836558000,836551000,836525000,836489000,836452000,836420000,836390000,836353000,836318000,836496500
client56,841085000,840456000,840434000,840374000,840319000,840260000,840222000,840194000,840167000,840122000,840363300
client58,840979000,840521000,840484000,840425000,840363000,840304000,840239000,840181000,840141000,840087000,840372400
client60,836162000,835807000,835804000,835774000,835743000,835712000,835671000,835617000,835568000,835538000,835739600
client55,840985000,840540000,840494000,840444000,840383000,840325000,840267000,840210000,840149000,840095000,840389200
client73,827187000,826689000,826640000,826607000,826504000,826455000,826407000,826361000,826307000,826259000,826541600
client69,819694000,819304000,819488000,819513000,819529000,819561000,819573000,819592000,819648000,819705000,819560700
client72,819261000,818754000,818700000,818665000,818623000,818572000,818523000,818477000,818430000,818385000,818639000
client66,819741000,819113000,819262000,819302000,819323000,819334000,819336000,819304000,819272000,819242000,819322900
client71,820252000,819697000,819634000,819366000,819311000,819262000,819215000,819171000,819126000,819084000,819411800
client74,819619000,819126000,819069000,819041000,818994000,818948000,818902000,818856000,818816000,818772000,819014300
client63,818822000,818558000,818669000,818724000,818747000,818775000,818800000,818830000,818856000,818874000,818765500
client52,818771000,818455000,818456000,818418000,818380000,818342000,818305000,818266000,818229000,818197000,818381900
client51,818990000,818707000,818699000,818694000,818666000,818633000,818598000,818569000,818540000,818514000,818661000
client61,812088000,811726000,811823000,811888000,811942000,812008000,812078000,812142000,812190000,812264000,812014900
client53,817984000,817700000,817693000,817656000,817618000,817586000,817555000,817521000,817469000,817441000,817622300
client57,827661000,827313000,827283000,827276000,827245000,827213000,827179000,827146000,827138000,827142000,827259600
client49,814832000,812340000,811921000,810066000,809699000,809333000,808370000,807928000,807563000,807184000,809923600
client43,822703000,820510000,820125000,819675000,819222000,818879000,818587000,818254000,818013000,817200000,819316800
client46,824546000,819938000,819458000,819000000,818629000,818263000,817866000,817490000,817087000,816712000,818898900
client45,820664000,817959000,817494000,817080000,816535000,816235000,815863000,815348000,814955000,814580000,816671300
client48,824555000,821893000,821478000,821076000,820672000,820280000,819872000,819298000,815533000,814926000,819958300
client50,814175000,808145000,807741000,807341000,804068000,803597000,803179000,802799000,802412000,802007000,805546400
client47,815333000,812520000,808185000,807697000,807221000,806758000,806344000,805902000,805340000,804918000,808021800
client42,815279000,812467000,811554000,810965000,810392000,809779000,809115000,808405000,807688000,806864000,810250800
client44,804859000,802855000,794979000,794725000,794547000,794396000,794250000,794093000,793935000,793779000,796241800
client41,804949000,802811000,802484000,799887000,799650000,799405000,799105000,798880000,798587000,798350000,800410800
