Recipient,1,2,3,4,5,6,7,8,9,10,Average
client49,772529000,771486000,771573000,771593000,771597000,771599000,771599000,771598000,771598000,771604000,771677600
client48,769729000,769454000,769545000,769604000,769589000,769574000,769559000,769550000,769548000,769544000,769569600
client47,761493000,761208000,761275000,761295000,761298000,761320000,761327000,761325000,761319000,761307000,761316700
client46,765909000,765729000,765887000,765967000,744358000,744358000,744366000,744367000,744354000,744368000,752966300
client50,760598000,760453000,760604000,760652000,760680000,731729000,731713000,731670000,731707000,731726000,746153200
client39,760552000,760403000,760531000,760589000,760632000,726762000,726778000,726803000,726844000,726891000,743678500
client42,754943000,754795000,754930000,754999000,755042000,755087000,719678000,719666000,719661000,719695000,740849600
client45,755099000,755030000,755194000,755264000,755323000,727121000,727121000,727098000,727126000,704775000,738915100
client41,749976000,749834000,749952000,750028000,750084000,727178000,704630000,704604000,704575000,704655000,729551600
client33,738110000,737920000,738022000,738078000,738125000,704695000,704684000,704675000,704700000,704702000,721371100
client40,697576000,697302000,697421000,697469000,697494000,697516000,697540000,697566000,671334000,671107000,692232500
client37,659064000,659021000,658730000,658387000,658036000,657671000,657339000,656990000,656581000,656286000,657810500
client30,659656000,657298000,656969000,656558000,656246000,655930000,655610000,655264000,654881000,654540000,656295200
client35,652128000,645339000,645046000,643424000,642935000,642457000,642007000,641698000,641368000,641021000,643742300
client32,660611000,658580000,658499000,658321000,658132000,657902000,654103000,653787000,653194000,652682000,656581100
client36,646119000,643456000,643177000,642873000,642525000,642191000,641859000,641522000,641188000,640887000,642579700
client43,660692000,658289000,658055000,657693000,657325000,656986000,656648000,656301000,655987000,655693000,657366900
client44,639119000,637893000,637879000,637758000,637668000,637591000,637507000,637424000,637363000,637052000,637725400
client28,647967000,644834000,644332000,643682000,642752000,641564000,645165000,645063000,645050000,644988000,644539700
client26,636007000,634772000,634646000,634590000,634416000,634232000,634036000,633912000,633779000,633678000,634406800
client34,639013000,633266000,633092000,632395000,632330000,632264000,632214000,632154000,632086000,632022000,633083600
client31,627657000,627034000,626840000,626796000,626731000,626759000,626733000,626703000,626688000,626672000,626861300
client38,637487000,637177000,637307000,637318000,637319000,637317000,637320000,637325000,637340000,637355000,637326500
client29,634187000,633705000,633893000,633914000,633926000,634022000,650987000,650996000,651014000,651037000,640768100
client27,652422000,652247000,652284000,652436000,652474000,652506000,652538000,652570000,652602000,652637000,652471600
